GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_DMSO_RIF
Rv0074	Rv0074	hypothetical protein	acidic:11%; hypoxia_late:10%	-0.0137	0.999999450688766	1885.42	1874	2169	1949	1636	1819	231.32	231.71
MT3974.1	MT3974.1	hypothetical protein	human_sputum:12%	-0.0176	0.999999547811991	1896.02	1950	2105	1913	1659	1867	213.57	214.4
Rv2177c	Rv2177c	transposase	hypoxia_late:20%	-0.018	0.999999957731551	1849.96	1869	1648	1891	1877	1973	36.48	36.68
Rv2532c	Rv2532c	hypothetical protein	low_iron:9%	-0.0164	0.999999660051149	1882.4	1945	1953	1903	1718	1898	225.06	226.1
Rv1458c	Rv1458c	antibiotic ABC transporter ATP-binding protein	hypoxia_late:10%	-0.0162	0.999999779387258	1869.31	1888	1961	1935	1686	1883	91.09	91.4
thiS	Rv0416	sulfur carrier protein ThiS	low_iron:15%; hypoxia_late:14%; acidic:12%	-0.026	0.999999977948828	1865.18	1816	1656	2050	1807	2011	30.29	30.46
hadA	Rv0635	(3R)-hydroxyacyl-ACP dehydratase subunit HadA	acidic:10%	-0.0157	0.999999108821226	1887.66	1985	2103	1931	1649	1787	759.04	761.37
Rv3659c	Rv3659c	conjugal transfer protein	hypoxia_late:28%; PBS_RIF_DDmtb:23%; ctl_stationary:13%	-0.0184	0.999999984333277	1820.04	1822	1412	2034	1887	1981	16.13	16.2
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	-0.0128	0.99999991627792	1826.07	1644	1808	2014	1771	1904	39.27	39.27
Rv3143	Rv3143	response regulator	butyrate_plus_glucose:11%	-0.0155	0.999999263664453	1878.49	1952	2030	1917	1646	1859	437.42	438.98
MT1096.2	MT1096.2	hypothetical protein	hypoxia_late:55%; ctl_stationary:17%	-0.0247	0.999999999999913	1807.43	1953	1219	1921	1921	2098	5.05	5.12
Rv2499c	Rv2499c	oxidase regulatory-like protein	microaerophilic:24%; low_iron:16%	-0.018	0.999999606263068	1873.53	1929	1964	1886	1708	1886	119.03	119.66
eccC5	Rv1783	ESX-5 type VII secretion system protein EccC5	acidic:9%	-0.015	0.999998355636434	1883.18	1973	2186	1929	1607	1747	489.28	490.74
Rv1518	Rv1518	hypothetical protein	hypoxia_late:27%; ctl_stationary:12%; human_sputum:10%	-0.0157	0.999999999308226	1755.6	1547	1106	2104	2018	2127	7.25	7.31
narU	Rv0267	nitrite extrusion protein NarU	PBS_RIF_DDmtb:11%	-0.0161	0.999999301632754	1873.45	1916	2073	1928	1624	1841	99.53	99.85
vapB26	Rv0581	antitoxin VapB26	ctl_exponential:12%; ctl_stationary:11%	-0.0182	0.999999328096697	1879.75	1845	2139	1877	1678	1874	439.98	442.38
vapC9	Rv0960	ribonuclease VapC9	hypoxia_fatty_acids:10%	-0.0179	0.999999875267414	1843.44	1850	1824	1912	1715	1920	129.62	130.28
Rv1742	Rv1742	hypothetical protein	ctl_stationary:16%; hypoxia_late:12%; human_sputum:11%	-0.0204	0.999999907895565	1845.69	1819	1838	1880	1777	1916	52.93	53.42
Rv0315	Rv0315	beta-1,3-glucanase	tyloxopol:12%	-0.0173	0.999998663871076	1878.05	1964	2128	1904	1633	1780	466.54	468.65
blaI	Rv1846c	transcriptional repressor BlaI	cholesterol:14%	-0.017	0.999998464212361	1876.52	1942	2129	1890	1639	1800	1745.89	1754.48
Rv0897c	Rv0897c	oxidoreductase	hypoxia_late:10%	-0.0183	0.999998686043382	1880.01	1947	2132	1879	1627	1833	85.93	86.42
amiD	Rv3375	amidase	hypoxia_late:15%; PBS_RIF_DDmtb:13%	-0.016	0.999999765671593	1835.18	1711	1955	1943	1706	1869	55.62	55.73
Rv1116A	Rv1116A	conserved hypothetical protein	acidic:10%	-0.0234	0.999999626631054	1875.57	1924	1972	1815	1757	1914	112.45	113.78
MT3953	MT3953	hypothetical protein	acidic_tyloxopol:14%	-0.0236	0.999999839727204	1861.72	1811	1915	1816	1815	1954	163.7	165.63
Rv3186	Rv3186	transposase	hypoxia_late:33%; ctl_stationary:17%	-0.0235	0.999999939948009	1838.39	1863	1685	1830	1817	2004	39.02	39.47
MT1713	MT1713	hypothetical protein	hypoxia_late:71%	-0.0285	0.999999999999638	1803.62	1829	1303	1779	1944	2229	3	3.1
Rv1248c	Rv1248c	multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase	human_sputum:7%	-0.0156	0.999998102641495	1872.71	1979	2166	1925	1600	1720	312.31	313.33
pepA	Rv0125	serine protease PepA	hypoxia_rar:9%	-0.0174	0.999998406654107	1873.1	1954	2125	1900	1634	1771	401.87	403.71
MT3412	MT3412	hypothetical protein	INDIGO_exponential:12%; nutrient_limitation:11%; acidic_tyloxopol:11%	-0.0291	0.999999922480414	1868.32	1880	1589	1980	1908	2000	65.53	66.46
fadD8	Rv0551c	fatty-acid--CoA ligase FadD8	hypoxia_late:15%; human_sputum:13%	-0.0181	0.999999561717965	1850.4	1895	1889	1898	1701	1873	44.96	45.19
Rv3780	Rv3780	hypothetical protein	tyloxopol:8%	-0.017	0.999999276551422	1850.3	1827	2060	1915	1626	1837	314.87	316.19
vapC16	Rv2231A	ribonuclease VapC16	ctl_stationary:14%; hypoxia_late:14%	-0.024	0.999999976313625	1801.72	1889	1540	1911	1683	2006	30.95	31.15
Rv3225c	Rv3225c	GCN5-like N-acetyltransferase	PBS_RIF_DDmtb:12%	-0.0175	0.999997940730776	1869.13	1962	2155	1893	1584	1776	167.59	168.36
mazF6	Rv1991c	mRNA interferase MazF6	PBS_RIF_DDmtb:26%	-0.0242	0.999999739348834	1852.24	1793	1975	1825	1747	1926	76.37	77.13
MT3770	MT3770	hypothetical protein	tyloxopol:14%	-0.0184	0.999998677349508	1864.79	1899	2138	1895	1601	1811	188.41	189.32
devS	Rv3132c	two component sensor histidine kinase DevS	cholesterol:17%; nutrient_limitation:13%; hypoxia_hypoxic:12%	-0.0176	0.999999310417979	1845	1857	1974	1914	1677	1810	178.01	178.82
rhlE	Rv3211	ATP-dependent RNA helicase RhlE	hypoxia_hypoxic:10%	-0.0176	0.999997535565522	1870.32	1958	2181	1884	1599	1755	536.39	539.13
whiA	Rv1423	transcriptional regulator WhiA	hypoxia_late:11%	-0.018	0.999997873304059	1868.63	1941	2180	1885	1597	1765	277.57	278.95
Rv1950c	Rv1950c	hypothetical protein	hypoxia_late:10%	-0.0245	0.999999909178503	1828.69	1824	1759	1858	1775	1930	99.67	100.69
fucA	Rv0727c	L-fuculose phosphate aldolase FucA	hypoxia_late:14%; ctl_stationary:10%	-0.0263	0.999999648093717	1861.41	1980	1914	1846	1681	1893	42.22	42.65
Rv1117	Rv1117	hypothetical protein	human_sputum:9%	-0.0196	0.999999414227119	1844.32	1846	1939	1873	1698	1870	339.99	342.29
ribA2	Rv1415	bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate	INDIGO_exponential:10%	-0.0167	0.99999891712315	1842.6	1925	1931	1908	1650	1807	260.82	261.89
Rv0523c	Rv0523c	hypothetical protein	hypoxia_late:13%	-0.0254	0.999999602842625	1856.64	1843	1952	1771	1763	1959	83.19	84.41
Rv1567c	Rv1567c	membrane protein	hypoxia_late:9%	-0.0258	0.999999922853788	1822.77	1849	1663	1820	1831	1957	42.01	42.51
Rv3669	Rv3669	transmembrane protein	tyloxopol:15%	-0.0202	0.99999813693036	1865.23	1951	2112	1870	1590	1823	215.79	217.19
Rv1456c	Rv1456c	antibiotic ABC transporter permease	hypoxia_late:16%; tyloxopol:12%	-0.0179	0.999999129408831	1841.97	1815	2042	1899	1630	1836	144.11	144.84
Rv0325	Rv0325	hypothetical protein	hypoxia_fatty_acids:18%; hypoxia_late:18%; ctl_stationary:13%	-0.0254	0.999999982916754	1775.11	1677	1274	2077	1868	2045	35.62	35.93
Rv0073	Rv0073	glutamine ABC transporter ATP-binding protein	ctl_exponential:11%; INDIGO_exponential:11%; acidic:11%	-0.0182	0.999997951172386	1850.69	1948	2082	1892	1606	1744	336.38	337.99
Rv1855c	Rv1855c	oxidoreductase	zinc_limitation:8%	-0.0183	0.999997755355558	1860.51	1903	2159	1874	1591	1798	235.48	236.86
lpqL	Rv0418	lipoprotein aminopeptidase LpqL	tyloxopol:9%	-0.0174	0.999997833209882	1849.05	1890	2151	1901	1585	1742	216.76	217.72
Rv2983	Rv2983	2-phospho-L-lactate guanylyltransferase	hypoxia_late:35%	-0.0272	0.999999637164746	1852.02	1875	1936	1792	1739	1922	38.44	38.95
pta	Rv0408	phosphate acetyltransferase	hypoxia_late:10%	-0.0188	0.999997866814851	1859.76	1975	2113	1887	1586	1760	126.74	127.42
scpA	Rv1709	segregation and condensation protein ScpA	high_iron:12%	-0.0183	0.999998531612957	1844.94	1932	2034	1907	1573	1796	187.18	188.02
PE26	Rv2519	PE family protein PE26	zinc_limitation:8%	-0.018	0.999998406319881	1844.85	1833	2079	1876	1632	1818	183.82	184.86
MT2617	MT2617	hypothetical protein	acidic:16%	-0.0212	0.999999453723752	1836.77	1758	2006	1872	1669	1888	208.92	210.28
rpmG1	Rv2057c	50S ribosomal protein L33	human_sputum:44%; zinc_limitation:31%	-0.0288	0.99999999829985	1762.93	1806	1210	1854	1912	2104	17.52	17.81
Rv3910	Rv3910	peptidoglycan biosynthesis protein	high_iron:8%	-0.0194	0.999996883994214	1863.08	1977	2144	1869	1595	1754	238.63	240.19
PE_PGRS44	Rv2591	PE-PGRS family protein PE_PGRS44	nutrient_limitation:34%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:10%	-0.02	0.999999530991104	1817.17	1702	1878	1845	1756	1909	98.01	98.84
Rv2715	Rv2715	hydrolase	zinc_limitation:9%	-0.0182	0.999997558824554	1848.69	1963	2101	1894	1582	1726	337.77	339.45
Rv1890c	Rv1890c	hypothetical protein	PBS_RIF_DDmtb:17%; ctl_stationary:15%; hypoxia_late:13%	-0.0256	0.999999801019992	1815.79	1782	1783	1814	1779	1923	30.21	30.58
Rv3217c	Rv3217c	integral membrane protein	hypoxia_late:9%	-0.0197	0.999998919895253	1830.01	1839	1905	1859	1687	1864	251.8	253.78
lppB	Rv2544	lipoprotein LppB	hypoxia_late:10%	-0.0227	0.999999456753215	1824.25	1892	1785	1837	1725	1885	66.51	67.11
Rv2648	Rv2648	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.0274	0.999999901950443	1803.02	1836	1603	1804	1808	1974	38.76	39.28
rplI	Rv0056	50S ribosomal protein L9	zinc_limitation:16%	-0.0206	0.999997236792311	1846.74	1976	2046	1868	1621	1739	879.52	885.47
Rv1691	Rv1691	hypothetical protein	hypoxia_late:23%; hypoxia_rar:10%	-0.024	0.999998213519398	1845.71	1955	1994	1833	1644	1813	144.84	146.28
mce3D	Rv1969	Mce family protein Mce3D	hypoxia_late:35%; ctl_stationary:13%	-0.0202	0.999999978794567	1715.56	1496	1160	2087	1933	1999	9.21	9.27
lpqO	Rv0604	lipoprotein LpqO	hypoxia_late:26%	-0.0236	0.999998611950399	1835.7	1900	1996	1861	1609	1824	77.87	78.48
secD	Rv2587c	protein translocase subunit SecD	zinc_limitation:8%	-0.0192	0.999997674258298	1833.44	1877	2089	1878	1605	1736	424.09	426.6
ribC	Rv1412	riboflavin synthase	hypoxia_late:11%	-0.026	0.999998530750685	1842.9	1915	2010	1818	1637	1845	83.33	84.18
Rv2199c	Rv2199c	cytochrome c oxidase polypeptide 4	INDIGO_exponential:15%; tyloxopol:12%; ctl_exponential:12%	-0.0202	0.99999680250855	1842.77	1957	2072	1867	1589	1748	872.54	878.61
Rv2808	Rv2808	hypothetical protein	human_sputum:14%; hypoxia_late:13%	-0.0271	0.999999541591047	1817.79	1834	1818	1767	1760	1912	93.53	94.85
Rv0329c	Rv0329c	hypothetical protein	hypoxia_fatty_acids:34%; hypoxia_late:14%	-0.0211	0.999999910844259	1747.94	1577	1550	1888	1765	1980	32.83	33.01
atpB	Rv1304	ATP synthase subunit A	tyloxopol:14%; INDIGO_exponential:12%; ctl_exponential:10%	-0.0183	0.999997900937058	1814.35	1886	1933	1883	1617	1762	841.33	845.76
fadD6	Rv1206	fatty-acid--CoA ligase FadD6	hypoxia_late:14%	-0.0206	0.999996951737213	1835.8	1898	2078	1848	1578	1795	103.49	104.33
MT1170	MT1170	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:20%	-0.0306	0.99999998788981	1737.75	1683	1176	2080	1741	2096	13.5	13.63
vapB22	Rv2830c	antitoxin VapB22	microaerophilic:20%; acidic:11%; ctl_stationary:10%	-0.0259	0.999997931630368	1840.82	1936	1992	1793	1647	1846	376.95	381.85
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	-0.0215	0.999997871100988	1815.52	1766	2035	1851	1638	1799	828.51	835.07
Rv3817	Rv3817	phosphotransferase	hypoxia_late:29%; ctl_stationary:11%	-0.0244	0.999999323744771	1804.24	1781	1853	1847	1691	1852	55.47	55.96
Rv3770c	Rv3770c	hypothetical protein	zinc_limitation:18%; hypoxia_late:12%	-0.0282	0.999999823528292	1777.49	1808	1495	1750	1862	1992	41.82	42.56
Rv3770A	Rv3770A	A transposase	zinc_limitation:41%; hypoxia_late:12%	-0.035	0.999999945104714	1780.52	1762	1559	1673	1850	2080	35.57	36.52
Rv3376	Rv3376	phosphatase	INDIGO_exponential:12%; ctl_exponential:11%	-0.0204	0.999996940661552	1816.58	1891	2017	1871	1568	1752	414.21	416.97
PPE35	Rv1918c	PPE family protein PPE35	hypoxia_late:20%	-0.0228	0.999996650858449	1829.19	1960	2018	1850	1596	1738	77.49	78.13
lysS	Rv3598c	lysine--tRNA ligase	PBS_RIF_DDmtb:11%	-0.0218	0.999996577763369	1828.32	1901	2081	1855	1557	1768	94.76	95.49
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	-0.0217	0.999995577069877	1834.96	1940	2123	1852	1554	1731	293.71	295.96
gltB	Rv3859c	glutamate synthase large subunit	zinc_limitation:10%	-0.0178	0.999995049724896	1812.09	1893	2074	1896	1555	1666	450.48	452.56
Rv2278	Rv2278	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.0313	0.999999847374392	1777.3	1813	1570	1772	1795	1947	39.08	39.74
bcpB	Rv1608c	peroxiredoxin	tyloxopol:11%	-0.026	0.999998353227857	1811.85	1959	1868	1839	1623	1779	229.27	231.76
icd1	Rv3339c	isocitrate dehydrogenase	INDIGO_exponential:10%	-0.022	0.999996362609048	1815.41	1919	2022	1863	1561	1730	154.08	155.25
Rv2354	Rv2354	transposase	hypoxia_late:33%; ctl_stationary:17%	-0.0308	0.999999797123065	1776.55	1830	1590	1786	1768	1917	39	39.61
Rv1706A	Rv1706A	hypothetical protein	microaerophilic:39%; hypoxia_fatty_acids:22%; ctl_stationary:12%	-0.0521	0.999999999996631	1777.37	1909	1346	2083	1635	1966	6.42	6.5
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	-0.0281	0.999999403100128	1781.91	1759	1732	1768	1754	1899	133.83	136.01
MT3290.2	MT3290.2	hypothetical protein	hypoxia_hypoxic:14%; hypoxia_rar:12%; PBS_RIF_DDmtb:10%	-0.0256	0.999999413975425	1770.81	1659	1794	1790	1710	1906	330.04	334.77
Rv2752c	Rv2752c	ribonuclease J	INDIGO_exponential:9%	-0.0208	0.999996954789543	1792.73	1912	1844	1865	1608	1743	213.65	215.15
Rv2181	Rv2181	alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase	PBS_RIF_DDmtb:8%	-0.0224	0.999996973355735	1800.84	1844	1941	1834	1603	1791	199.43	201.3
pks16	Rv1013	polyketide synthase	hypoxia_hypoxic:9%	-0.0217	0.999995964605871	1806.41	1797	2088	1844	1593	1728	325.98	328.6
smtB	Rv2358	HTH-type transcriptional regulator SmtB	hypoxia_fatty_acids:15%	-0.0276	0.999996715554221	1817.38	1882	2015	1774	1612	1816	193.99	196.57
purF	Rv0808	amidophosphoribosyltransferase	low_iron:8%	-0.0221	0.999994168369533	1808.91	1894	2062	1842	1553	1714	328.16	330.98
Rv2613c	Rv2613c	AP-4-A phosphorylase	zinc_limitation:11%	-0.0237	0.999996775100973	1797.53	1871	1977	1857	1530	1769	177.75	179.14
grpE	Rv0351	stress response protein GrpE	hypoxia_fatty_acids:17%; microaerophilic:16%	-0.0237	0.999995551141079	1805.11	1943	1957	1836	1598	1705	1051.12	1060.52
pykA	Rv1617	pyruvate kinase	zinc_limitation:8%	-0.0221	0.999992928588284	1812.33	1922	2094	1838	1533	1700	256.92	259.03
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	-0.0215	0.999993110450063	1808.63	1921	2068	1860	1543	1675	87.65	88.29
Rv2077c	Rv2077c	transmembrane protein	nutrient_limitation:14%; ctl_stationary:11%	-0.0235	0.9999965888873	1792.21	1795	1966	1822	1594	1794	225.93	228.33
Rv3705A	Rv3705A	hypothetical protein	hypoxia_late:12%	-0.0307	0.999999049961327	1791.12	1739	1872	1722	1744	1882	70.88	72.18
lpqM	Rv0419	lipoprotein peptidase LpqM	zinc_limitation:8%	-0.0212	0.999993911142273	1801.25	1835	2085	1856	1551	1701	296.92	299.12
Rv3848	Rv3848	transmembrane protein	ctl_stationary:13%; PBS_RIF_DDmtb:13%; hypoxia_fatty_acids:11%	-0.026	0.99999936096419	1749.97	1643	1723	1824	1714	1850	38.45	38.84
fadE27	Rv3505	acyl-CoA dehydrogenase FadE27	hypoxia_fatty_acids:14%; hypoxia_late:14%	-0.0288	0.999997717751532	1802.16	1926	1859	1799	1643	1790	70.14	71.02
mbtF	Rv2379c	peptide synthetase	low_iron:40%; hypoxia_late:10%	-0.0232	0.999995950275996	1778.71	1803	1970	1849	1556	1729	38.43	38.76
echA2	Rv0456c	enoyl-CoA hydratase EchA2	hypoxia_late:19%; ctl_stationary:10%	-0.0302	0.999998173113574	1795.08	1801	1921	1756	1655	1848	42.32	42.98
asnT	Rvnt25	tRNA-Asn	hypoxia_late:24%; tyloxopol:12%; butyrate:12%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	-0.046	0.999999999989697	1718.59	1747	1238	1636	2065	1972	13.01	13.56
Rv1816	Rv1816	HTH-type transcriptional regulator	human_sputum:10%	-0.0243	0.999993555685236	1807.06	1939	2050	1829	1534	1706	326.11	329.16
MTS1310	MTS1310	small intergenic RNA	hypoxia_late:17%; ctl_exponential:11%	-0.0277	0.999998128494475	1772.57	1784	1802	1788	1648	1844	205.61	208.29
fadE30	Rv3560c	acyl-CoA dehydrogenase FadE30	human_sputum:43%; hypoxia_late:21%	-0.0266	0.999999186057454	1748.49	1621	1784	1832	1654	1858	30.33	30.63
Rv0895	Rv0895	diacyglycerol O-acyltransferase	hypoxia_late:38%; ctl_stationary:11%; human_sputum:10%	-0.0293	0.999999607663214	1746.25	1680	1676	1853	1666	1862	16.87	17.04
Rv3104c	Rv3104c	transmembrane protein	zinc_limitation:10%	-0.022	0.999993910185809	1785.78	1838	2036	1862	1523	1691	284.12	286.19
rplE	Rv0716	50S ribosomal protein L5	tyloxopol:10%	-0.0235	0.999991830348446	1798.37	1920	2051	1831	1531	1682	1272.94	1284.42
Rv1216c	Rv1216c	integral membrane protein	cholesterol:14%	-0.0289	0.999997613551284	1774.16	1753	1912	1794	1604	1815	70.96	71.86
vapC1	Rv0065	ribonuclease VapC1	ctl_stationary:11%	-0.0293	0.999997091877024	1776.81	1828	1865	1766	1625	1805	128.15	129.91
metT	Rvnt07	tRNA-Met	human_sputum:22%; ctl_exponential:14%	-0.0311	0.999998244427256	1763.83	1697	1867	1729	1670	1861	396.47	403.42
Rv2237	Rv2237	hypothetical protein	acidic_tyloxopol:10%	-0.0281	0.99999540892391	1777.48	1831	1928	1765	1576	1797	112	113.57
yrbE4B	Rv3500c	integral membrane protein	hypoxia_late:15%	-0.0278	0.999995653042283	1776.57	1812	1913	1773	1587	1806	115.59	117.25
clpB	Rv0384c	chaperone protein ClpB	hypoxia_fatty_acids:43%	-0.0271	0.999996256185419	1767.33	1794	1863	1798	1628	1758	143.73	145.51
Rv0192A	Rv0192A	conserved secreted protein	acidic:11%; hypoxia_late:10%	-0.0297	0.999995716342007	1786.45	1842	1932	1759	1614	1793	378.34	384
PE17	Rv1646	PE family protein PE17	PBS_RIF_DDmtb:11%; butyrate:11%	-0.0239	0.999994174073503	1763.66	1755	1976	1826	1550	1725	261.67	264.18
Rv2367c	Rv2367c	endoribonuclease	INDIGO_exponential:9%	-0.0255	0.999995749030306	1760.76	1860	1827	1828	1552	1746	203.24	205.24
lspA	Rv1539	lipoprotein signal peptidase	microaerophilic:24%	-0.0238	0.999990477597706	1775.76	1870	2024	1835	1496	1677	440.06	443.94
Rv3843c	Rv3843c	transmembrane protein	microaerophilic:10%	-0.025	0.999993942986032	1767.28	1744	2004	1810	1577	1715	555.17	560.99
metH	Rv2124c	methionine synthase	butyrate_plus_glucose:11%	-0.0229	0.999989865635837	1769.69	1897	1960	1840	1515	1656	191.47	193.09
Rv0038	Rv0038	hypothetical protein	microaerophilic:8%	-0.0252	0.999992015877091	1770.06	1787	2044	1817	1532	1690	425.44	429.76
mce4D	Rv3496c	Mce family protein Mce4D	butyrate_plus_glucose:9%	-0.0233	0.999991415857738	1763.08	1826	1982	1841	1512	1673	249.29	251.42
Rv0406c	Rv0406c	beta lactamase-like protein	hypoxia_late:18%	-0.0298	0.999997859965799	1741.81	1745	1757	1802	1622	1786	70.51	71.46
lppY	Rv2999	lipoprotein LppY	hypoxia_late:20%	-0.0335	0.999997320080301	1767.45	1961	1799	1809	1520	1763	52.06	52.81
Rv3605c	Rv3605c	hypothetical protein	microaerophilic:36%	-0.029	0.99999606694069	1763.27	1851	1866	1801	1566	1741	238.05	241.13
espB	Rv3881c	ESX-1 secretion-associated protein EspB	acidic:10%	-0.0247	0.999986245683078	1775.92	1923	2025	1821	1511	1625	691.58	698.23
Rv0976c	Rv0976c	hypothetical protein	microaerophilic:58%; hypoxia_late:14%	-0.0325	0.999998407765262	1735.45	1820	1584	1735	1690	1855	28.94	29.49
gcvB	Rv1832	glycine dehydrogenase	PBS_RIF_DDmtb:10%	-0.0242	0.999989339537574	1764.16	1853	1984	1823	1510	1670	170.53	172.17
Rv0795	Rv0795	transposase	hypoxia_late:33%; ctl_stationary:17%	-0.0372	0.999999567718006	1728.67	1786	1536	1711	1713	1908	39.03	39.86
MT0724.1	MT0724.1	hypothetical protein	hypoxia_late:17%	-0.0445	0.999999881600903	1727.45	1718	1515	1572	1899	1955	17.56	18.19
lepA	Rv2404c	GTP-binding protein LepA	hypoxia_late:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%	-0.0262	0.999993339326956	1751.63	1814	1916	1827	1517	1698	72.73	73.45
Rv2105	Rv2105	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.0371	0.999999495058762	1728.44	1790	1535	1733	1730	1863	38.69	39.45
ureB	Rv1849	urease subunit beta	hypoxia_late:18%	-0.0336	0.999999075350736	1722.28	1713	1579	1719	1727	1880	91.84	93.6
MT3313	MT3313	hypothetical protein	hypoxia_late:9%	-0.0279	0.999994733988932	1742.33	1773	1822	1777	1562	1784	244.48	247.85
lprH	Rv1418	lipoprotein LprH	INDIGO_exponential:9%	-0.0284	0.999996079574058	1733.94	1761	1778	1807	1570	1759	129.18	130.69
MT2554.1	MT2554.1	hypothetical protein	hypoxia_late:13%	-0.0371	0.999998002455749	1749.98	1738	1810	1680	1682	1843	119.63	122.21
Rv2205c	Rv2205c	hypothetical protein	hypoxia_late:25%; human_sputum:14%	-0.0325	0.999996850242261	1741.6	1805	1748	1760	1620	1778	48.44	49.2
hisC2	Rv3772	histidinol-phosphate aminotransferase	hypoxia_late:15%	-0.0295	0.999995944613776	1739.6	1671	1900	1791	1572	1773	60.58	61.35
rphA	Rv1340	ribonuclease PH	hypoxia_rar:8%	-0.0289	0.999988732729209	1770.14	1876	2016	1778	1518	1683	308.31	312.34
Rv3092c	Rv3092c	integral membrane protein	high_iron:12%	-0.0274	0.999992973777517	1737.48	1796	1874	1819	1503	1708	141.55	143.08
Rv2170	Rv2170	GCN5-like N-acetyltransferase	hypoxia_late:23%; PBS_RIF_DDmtb:12%	-0.0357	0.999999089285481	1712.19	1728	1591	1783	1631	1834	37.45	38.06
nadD	Rv2421c	nicotinate-nucleotide adenylyltransferase	hypoxia_late:10%	-0.0327	0.99999403755119	1752.42	1760	1956	1718	1569	1770	87.64	89.07
Rv0459	Rv0459	hypothetical protein	acidic:14%; cholesterol:13%	-0.0317	0.999990737935248	1762.25	1859	1987	1727	1528	1727	160.62	163.08
Rv1544	Rv1544	ketoacyl reductase	ctl_exponential:10%	-0.0286	0.999985462393567	1754.93	1873	1986	1784	1508	1644	436.32	441.9
Rv3222c	Rv3222c	hypothetical protein	microaerophilic:12%	-0.0281	0.999983086244515	1753.95	1881	2001	1789	1495	1627	628.55	636.17
Rv1771	Rv1771	L-gulono-1,4-lactone dehydrogenase	tyloxopol:10%	-0.0264	0.999985440027868	1733.41	1866	1892	1806	1480	1641	209.99	212.23
Rv0068	Rv0068	oxidoreductase	PBS_RIF_DDmtb:13%; hypoxia_late:12%; hypoxia_fatty_acids:10%	-0.0372	0.999998699840438	1704.62	1763	1537	1737	1676	1817	29.23	29.79
Rv2128	Rv2128	transmembrane protein	tyloxopol:12%	-0.0334	0.99999786484323	1696.57	1679	1620	1780	1640	1767	356.27	361.83
lysA	Rv1293	diaminopimelate decarboxylase	INDIGO_exponential:8%	-0.0276	0.999984188502577	1735.23	1847	1908	1787	1482	1669	192.5	194.88
gltD	Rv3858c	glutamate synthase small subunit	zinc_limitation:12%	-0.0269	0.999983596545374	1731.62	1783	1989	1800	1492	1615	491.9	497.39
sigL	Rv0735	ECF RNA polymerase sigma factor SigL	PBS_RIF_DDmtb:14%; nutrient_limitation:14%	-0.0388	0.999996134076648	1735.73	1858	1773	1699	1580	1775	60.94	62.18
glfT2	Rv3808c	galactofuranosyl transferase GlfT	hypoxia_rar:9%	-0.0257	0.99997696658721	1734	1780	2058	1803	1469	1589	353.35	357.02
ackA	Rv0409	acetate kinase	zinc_limitation:8%	-0.0271	0.999985482265613	1726.83	1817	1925	1805	1455	1652	173.14	175.01
vapB6	Rv0657c	antitoxin VapB6	INDIGO_exponential:8%	-0.0451	0.999999646051221	1697.13	1685	1458	1592	1837	1935	67.32	69.73
Rv1897c	Rv1897c	D-tyrosyl-tRNA(Tyr) deacylase	hypoxia_late:12%; ctl_stationary:12%	-0.0387	0.99999773295518	1713.71	1778	1665	1706	1619	1804	57.86	59.02
arsB2	Rv3578	arsenic transport integral membrane protein ArsB	hypoxia_late:18%; PBS_RIF_DDmtb:15%; human_sputum:11%	-0.0313	0.999990809656179	1728.72	1792	1899	1781	1484	1702	75.05	76.05
Rv2309c	Rv2309c	integrase	tyloxopol:10%	-0.0346	0.999994227707185	1728.72	1772	1851	1716	1536	1777	106.83	108.64
esxF	Rv3905c	ESAT-6 like protein EsxF	hypoxia_late:24%; human_sputum:16%; ctl_stationary:12%	-0.0406	0.999999561711007	1680.23	1654	1431	1710	1732	1891	44.87	45.9
Rv3026c	Rv3026c	hypothetical protein	hypoxia_late:32%; ctl_stationary:10%	-0.0341	0.999998560962393	1675.19	1578	1571	1785	1616	1835	35.02	35.53
eccA2	Rv3884c	ESX-2 secretion system protein EccA	hypoxia_late:10%; ctl_exponential:10%	-0.0267	0.999987431662391	1710.94	1691	1923	1813	1501	1642	155.52	157.17
