GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_noDrug	Rv0494_DMSO_noDrug
Rv0338c	Rv0338c	iron-sulfur-binding reductase	tyloxopol:10%	-0.0149	0.999999994478941	2282.66	2015	2499	2061	2556	2309	407.69	415
udgB	Rv1259	uracil DNA glycosylase	hypoxia_late:34%	-0.0217	0.999999998949297	2306.72	2447	2183	2205	2492	2216	27.43	28.12
whiB7	Rv3197A	transcriptional regulator WhiB7	nutrient_limitation:15%; PBS_RIF_DDmtb:12%	-0.019	0.999999998976791	2287.8	2206	2315	2197	2503	2225	126.19	128.96
Rv1508c	Rv1508c	membrane protein	tyloxopol:11%	-0.0168	0.999999999347393	2259.96	2127	2263	2125	2520	2276	103.69	105.77
Rv0776c	Rv0776c	hypothetical protein	hypoxia_late:22%	-0.0165	0.999999998965725	2263.84	2112	2236	2282	2478	2219	30.37	30.94
agpS	Rv3107c	alkyldihydroxyacetonephosphate synthase	hypoxia_late:17%	-0.017	0.99999999562188	2279.41	2178	2377	2160	2487	2204	50.37	51.36
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	-0.0175	0.999999995360174	2283.25	2122	2444	2164	2496	2203	556.9	567.82
Rv0552	Rv0552	hypothetical protein	hypoxia_late:18%	-0.0177	0.999999999305587	2256.34	2098	2281	2167	2504	2242	45.74	46.71
desA1	Rv0824c	acyl-ACP desaturase DesA	hypoxia_hypoxic:10%; INDIGO_exponential:10%	-0.0174	0.99999999534649	2281.56	2130	2463	2121	2493	2215	3974.48	4052.8
Rv2059	Rv2059	hypothetical protein	zinc_limitation:15%; human_sputum:13%	-0.0177	0.999999992506446	2290.29	2232	2400	2153	2480	2195	154.02	157.07
acyP	Rv2922A	acylphosphatase	hypoxia_late:15%	-0.0125	0.999999998301667	2217.99	2030	1855	2349	2582	2311	105.73	107.36
nicT	Rv2856	nickel-transport integral membrane protein NicT	INDIGO_exponential:10%	-0.0189	0.999999988492273	2303.35	2285	2410	2184	2465	2180	87.39	89.21
mmpL13b	Rv1146	transmembrane transport protein	hypoxia_late:17%; PBS_RIF_DDmtb:16%; ctl_stationary:10%	-0.0191	0.999999991219678	2293.74	2375	2227	2268	2438	2166	25.4	25.92
vapB35	Rv1962A	antitoxin VapB35	PBS_RIF_DDmtb:9%	-0.0206	0.999999995274434	2287.46	2304	2294	2182	2485	2179	73.45	75.1
Rv2283	Rv2283	hypothetical protein	hypoxia_late:40%; ctl_stationary:13%	-0.0087	0.99999997176082	2242.19	2144	1266	2888	3076	2086	5.32	5.48
Rv2806	Rv2806	membrane protein	hypoxia_late:16%; ctl_stationary:11%	-0.0178	0.999999999999342	2204.9	2227	1706	2373	2548	2218	42.13	42.92
pta	Rv0408	phosphate acetyltransferase	hypoxia_late:10%	-0.0182	0.99999998923931	2288.08	2202	2448	2138	2471	2192	105.12	107.28
Rv1254	Rv1254	acyltransferase	hypoxia_fatty_acids:9%	-0.018	0.999999991588269	2281.83	2171	2454	2115	2486	2196	107.16	109.34
rplA	Rv0641	50S ribosomal protein L1	zinc_limitation:12%	-0.018	0.999999993262625	2275.6	2161	2388	2156	2489	2194	2220.15	2264.86
leuX	Rvnt17	tRNA-Leu	hypoxia_late:13%; tyloxopol:11%	-0.0185	0.999999999999955	2196.69	2263	1688	2354	2458	2265	41.28	42.03
Rv3218	Rv3218	hypothetical protein	hypoxia_late:17%	-0.0181	0.999999994982294	2260.31	2241	2157	2272	2446	2191	52.4	53.43
Rv2974c	Rv2974c	hypothetical protein	hypoxia_late:32%	-0.0184	0.999999992985698	2272.26	2155	2441	2086	2484	2209	74.27	75.84
Rv0459	Rv0459	hypothetical protein	acidic:14%; cholesterol:13%	-0.0172	0.999999997164945	2240.98	2026	2430	2049	2507	2214	148.3	151.21
rpmG1	Rv2057c	50S ribosomal protein L33	human_sputum:44%; zinc_limitation:31%	-0.0158	0.999999999997457	2175.13	2196	1627	2308	2641	2168	23.48	23.98
esxU	Rv3445c	ESAT-6 like protein EsxU	hypoxia_late:23%; human_sputum:14%	-0.0218	0.999999999999265	2222.59	2248	1925	2360	2394	2202	17.55	17.92
moaC1	Rv3111	cyclic pyranopterin monophosphate synthase accessory protein	hypoxia_late:38%; ctl_stationary:19%	-0.0172	0.999999999999969	2172.22	2205	1504	2304	2669	2269	8.05	8.33
fadE3	Rv0215c	acyl-CoA dehydrogenase fadE3	hypoxia_late:12%; PBS_RIF_DDmtb:10%	-0.0212	0.999999999660405	2237.14	2197	2001	2220	2538	2246	39.55	40.56
hsaE	Rv3536c	hydratase	microaerophilic:35%; hypoxia_fatty_acids:18%	-0.0187	0.999999998255972	2237.71	2111	2220	2132	2500	2236	65.62	67.09
Rv2464c	Rv2464c	DNA glycosylase	PBS_RIF_DDmtb:9%	-0.0177	0.999999994481994	2242.46	2075	2343	2108	2501	2199	152.16	155.2
kstR	Rv3574	HTH-type transcriptional regulator KstR	hypoxia_fatty_acids:27%	-0.0202	0.999999995174734	2256.32	2260	2108	2283	2455	2183	91.95	93.88
Rv1184c	Rv1184c	hypothetical protein	nutrient_limitation:17%; acidic_tyloxopol:12%; butyrate_plus_glucose:10%	-0.0231	0.999999991935143	2289.27	2458	2135	2215	2463	2186	279.17	286.05
MT1488	MT1488	hypothetical protein	tyloxopol:9%	-0.0212	0.99999999320534	2267.86	2270	2219	2278	2366	2208	150.59	153.6
eccA2	Rv3884c	ESX-2 secretion system protein EccA	hypoxia_late:10%; ctl_exponential:10%	-0.0191	0.999999981368946	2276.2	2289	2279	2193	2448	2177	143.36	146.38
PE34	Rv3746c	PE family protein PE34	hypoxia_late:18%; nutrient_limitation:15%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.0245	0.99999999998977	2231.96	2243	2115	2263	2410	2135	14.7	15.03
echA13	Rv1935c	enoyl-CoA hydratase EchA13	hypoxia_late:33%; ctl_stationary:12%	-0.022	0.99999999999456	2199.93	2314	1736	2262	2576	2156	9.13	9.42
ptbB	Rv0153c	phosphotyrosine protein phosphatase	hypoxia_late:9%	-0.02	0.999999980191133	2276.73	2364	2187	2241	2441	2157	117.68	120.22
Rv2689c	Rv2689c	hypothetical protein	PBS_RIF_DDmtb:20%; hypoxia_late:19%; ctl_stationary:11%	-0.0196	0.999999980421921	2266.5	2267	2336	2106	2461	2171	41.39	42.3
ddlA	Rv2981c	D-alanine--D-alanine ligase	zinc_limitation:10%	-0.018	0.999999984198461	2249.92	2102	2445	2043	2479	2198	207.14	211.36
PPE37	Rv2123	PPE family protein PPE37	low_iron:34%; hypoxia_late:10%	-0.0202	0.999999991752268	2248.68	2120	2304	2195	2454	2178	22.14	22.63
fadD9	Rv2590	fatty-acid--CoA ligase FadD9	nutrient_limitation:34%; butyrate_plus_glucose:17%; PBS_RIF_DDmtb:12%	-0.0195	0.99999999083215	2243.41	2134	2208	2247	2459	2176	402.92	411.39
mutA	Rv1492	methylmalonyl-CoA mutase small subunit	hypoxia_late:14%; hypoxia_fatty_acids:10%	-0.0192	0.999999991138547	2240.71	2083	2305	2157	2462	2206	89.24	91.2
Rv3050c	Rv3050c	AsnC family transcriptional regulator	low_iron:11%	-0.0192	0.999999975652071	2258.75	2135	2392	2144	2460	2173	629.14	642.32
Rv3839	Rv3839	hypothetical protein	low_iron:68%	-0.0215	0.999999995342957	2225.46	2200	2034	2169	2573	2169	30.14	30.93
mgtE	Rv0362	Mg2+ transport transmembrane protein MgtE	human_sputum:10%	-0.021	0.999999987831255	2243.66	2219	2179	2189	2449	2188	65.25	66.78
nuoD	Rv3148	NADH-quinone oxidoreductase subunit D	high_iron:14%; tyloxopol:12%; INDIGO_exponential:10%; butyrate_plus_glucose:10%	-0.0197	0.99999996679109	2259.21	2169	2380	2139	2450	2167	520.12	531.22
fabG1	Rv1483	3-oxoacyl-ACP reductase FabG	hypoxia_rar:14%; zinc_limitation:10%	-0.0185	0.999999983130209	2233.97	2113	2298	2113	2472	2184	287.56	293.42
dnaB	Rv0058	replicative DNA helicase	zinc_limitation:23%	-0.0204	0.999999943885703	2285.36	2297	2399	2149	2442	2148	337.16	344.49
MT3628	MT3628	hypothetical protein	acidic_tyloxopol:14%	-0.0222	0.999999994117658	2222.62	2212	2082	2255	2395	2175	66.09	67.48
Rv2840c	Rv2840c	hypothetical protein	human_sputum:18%; ctl_exponential:11%	-0.0198	0.999999984010011	2232.18	2048	2277	2225	2457	2164	1895.46	1935.6
MT1650.1	MT1650.1	hypothetical protein	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	-0.0209	0.999999993552207	2216.63	2042	2296	2078	2495	2187	86.62	88.66
malQ	Rv1781c	4-alpha-glucanotransferase	hypoxia_late:14%	-0.0197	0.999999957679911	2254.85	2157	2402	2114	2451	2161	93.68	95.7
mmsB	Rv0751c	3-hydroxyisobutyrate dehydrogenase	hypoxia_fatty_acids:19%; acidic_tyloxopol:11%	-0.0204	0.999999963892144	2252.99	2146	2371	2162	2431	2163	95.25	97.31
Rv0681	Rv0681	transcriptional regulator	ctl_stationary:24%; microaerophilic:15%	-0.0199	0.999999966551834	2244.67	2250	2206	2171	2440	2162	220.33	225.05
dfp	Rv1391	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	microaerophilic:12%; cholesterol:12%	-0.0185	0.999999978975307	2228.73	2058	2368	2077	2466	2189	594.26	606.48
sdhC	Rv3316	succinate dehydrogenase cytochrome B-556 subunit	hypoxia_late:10%	-0.02	0.999999987784362	2219.99	2105	2180	2198	2439	2185	121.69	124.23
cdsA	Rv2881c	phosphatidate cytidylyltransferase	acidic:10%	-0.0179	0.999999983436575	2205.76	1958	2411	1997	2481	2207	440.24	449.15
MT2361.1	MT2361.1	hypothetical protein	hypoxia_late:36%; ctl_stationary:15%; PBS_RIF_DDmtb:15%	-0.0252	0.999999999994153	2170.01	2399	1534	2258	2749	2009	7.5	7.79
Rv3486	Rv3486	hypothetical protein	nutrient_limitation:22%; butyrate_plus_glucose:12%	-0.02	0.999999948763509	2244.66	2124	2417	2092	2445	2158	524.32	535.62
moaC2	Rv0864	cyclic pyranopterin monophosphate synthase accessory protein	microaerophilic:15%	-0.0191	0.999999952346101	2234.01	2141	2357	2058	2456	2170	852.98	870.85
murB	Rv0482	UDP-N-acetylenolpyruvoylglucosamine reductase	hypoxia_late:16%	-0.0206	0.999999975993935	2228.83	2257	2134	2136	2453	2172	79.99	81.79
Rv3098c	Rv3098c	hypothetical protein	ctl_stationary:13%; PBS_RIF_DDmtb:11%	-0.0204	0.999999980092372	2209.4	2090	2166	2191	2443	2165	153.02	156.3
Rv2659c	Rv2659c	prophage integrase	ctl_stationary:15%; hypoxia_fatty_acids:14%; PBS_RIF_DDmtb:13%; hypoxia_late:12%	-0.023	0.99999999486413	2182.46	2140	1858	2152	2588	2205	17.41	17.92
Rv1579c	Rv1579c	phage protein	hypoxia_late:17%	-0.0239	0.999999999990571	2135.03	1966	1887	2101	2572	2181	25.69	26.47
Rv3197	Rv3197	ABC transporter ATP-binding protein	nutrient_limitation:18%	-0.0193	0.999999947396107	2223.88	2052	2363	2119	2444	2154	479.75	489.82
purK	Rv3276c	N5-carboxyaminoimidazole ribonucleotide synthase	hypoxia_late:11%	-0.02	0.999999955684752	2223.64	2123	2342	2032	2452	2182	169.51	173.28
Rv3719	Rv3719	hypothetical protein	acidic_tyloxopol:8%	-0.0214	0.999999921970931	2245.92	2231	2345	2072	2436	2155	149.13	152.58
pks3	Rv1180	polyketide beta-ketoacyl synthase	acidic:18%; acidic_tyloxopol:12%	-0.0206	0.999999909088882	2242.01	2166	2389	2080	2435	2151	229.63	234.7
rfbD	Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD	INDIGO_exponential:12%	-0.0208	0.99999990336216	2237.19	2137	2387	2094	2434	2145	264.33	270.15
mce4B	Rv3498c	Mce family protein Mce4B	tyloxopol:8%	-0.0214	0.99999988373643	2237.59	2221	2280	2150	2401	2141	147.37	150.65
Rv0095c	Rv0095c	hypothetical protein	hypoxia_late:22%; zinc_limitation:16%; ctl_stationary:10%	-0.024	0.999999994924434	2142.46	1939	1936	2079	2594	2197	32.73	33.72
Rv0195	Rv0195	two component transcriptional regulator	ctl_stationary:19%; hypoxia_late:16%; human_sputum:12%; nutrient_limitation:12%; PBS_RIF_DDmtb:11%	-0.0289	0.999999999979243	2135.02	2254	1724	2267	2498	1975	5.23	5.4
cysM	Rv1336	O-phosphoserine sulfhydrylase	human_sputum:9%	-0.0234	0.999999813259659	2246.11	2278	2320	2117	2409	2114	303.82	311.04
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	-0.0227	0.999999945826321	2183.32	2175	1964	2229	2421	2140	892.2	913.13
Rv0298	Rv0298	antitoxin	ctl_exponential:10%	-0.0214	0.999999878954495	2206.51	2029	2319	2137	2425	2134	1414.93	1446.45
MT3631	MT3631	hypothetical protein	hypoxia_fatty_acids:22%; hypoxia_late:20%	-0.0252	0.99999999847101	2120.66	2374	1466	2409	2223	2210	26.73	27.31
MT2600.1	MT2600.1	hypothetical protein	hypoxia_late:24%; tyloxopol:12%	-0.0306	0.999999969090176	2232.94	2401	2152	2142	2398	2082	25.64	26.42
Rv0498	Rv0498	hypothetical protein	hypoxia_late:12%	-0.0224	0.999999845528907	2217.44	2107	2366	2067	2423	2136	145.24	148.61
glnU	Rvnt36	tRNA-Gln	acidic_tyloxopol:12%; human_sputum:11%; hypoxia_late:10%	-0.0334	0.999999999960971	2149.06	2220	1861	2128	2506	2056	68.12	70.34
Rv1084	Rv1084	hypothetical protein	hypoxia_late:16%; microaerophilic:16%	-0.0209	0.999999867659702	2191.74	2050	2349	1992	2432	2152	105.99	108.41
ftsH	Rv3610c	zinc metalloprotease FtsH	microaerophilic:18%; PBS_RIF_DDmtb:10%	-0.0222	0.999999803667003	2230.86	2193	2356	2071	2415	2129	394.61	403.76
nuoH	Rv3152	NADH-quinone oxidoreductase subunit H	high_iron:15%; butyrate_plus_glucose:13%; tyloxopol:12%; INDIGO_exponential:11%	-0.0228	0.999999896171559	2187.42	2014	2221	2165	2417	2130	608.59	622.89
Rv2143	Rv2143	hypothetical protein	hypoxia_late:9%	-0.0234	0.999999817615995	2228.67	2222	2302	2111	2397	2118	115.56	118.32
stp	Rv2333c	multidrug resistance protein	hypoxia_late:14%	-0.024	0.999999857195377	2206.56	2189	2176	2192	2352	2127	34.17	35
fadE20	Rv2724c	acyl-CoA dehydrogenase FadE20	nutrient_limitation:10%	-0.0228	0.999999825442714	2205.67	2218	2190	2089	2407	2131	136.98	140.24
Rv3165c	Rv3165c	hypothetical protein	hypoxia_late:19%	-0.0167	0.999999999999095	2012.56	1903	1211	2383	2524	2193	21.97	22.36
Rv3740c	Rv3740c	diacyglycerol O-acyltransferase	nutrient_limitation:42%; PBS_RIF_DDmtb:29%	-0.0243	0.999999821589817	2206.79	2208	2185	2158	2368	2119	68.75	70.44
PPE44	Rv2770c	PPE family protein PPE44	hypoxia_late:9%	-0.0229	0.999999916500162	2166.65	2038	2087	2174	2400	2143	81.2	83.14
Rv0958	Rv0958	magnesium chelatase	hypoxia_late:10%	-0.0215	0.99999987595315	2170.51	2019	2250	2017	2427	2153	127.31	130.28
MT2960	MT2960	hypothetical protein	ctl_stationary:15%; hypoxia_late:13%; PBS_RIF_DDmtb:13%	-0.0337	0.999999993257495	2173.74	2448	1827	2331	2169	2120	19.04	19.54
Rv1626	Rv1626	two-component system transcriptional regulator	ctl_exponential:13%; INDIGO_exponential:12%	-0.0229	0.999999792690031	2203.92	2179	2202	2148	2391	2105	847.34	867.31
Rv3517	Rv3517	hypothetical protein	hypoxia_late:29%; zinc_limitation:11%	-0.0244	0.999999922255914	2170.32	2057	2140	2127	2411	2125	22.58	23.16
Rv2675c	Rv2675c	hypothetical protein	low_iron:7%	-0.0245	0.999999941997291	2161.53	2086	1995	2168	2420	2150	159.68	163.85
MT2330.1	MT2330.1	hypothetical protein	hypoxia_late:16%; hypoxia_hypoxic:10%; ctl_stationary:10%	-0.03	0.99999999939778	2109.23	2151	1603	2305	2260	2272	22.65	23.29
Rv0574c	Rv0574c	hypothetical protein	ctl_stationary:16%; hypoxia_late:15%	-0.0259	0.999999957002508	2146.19	2149	1895	2098	2464	2144	18.34	18.92
MT3282	MT3282	hypothetical protein	hypoxia_late:23%; zinc_limitation:11%; ctl_stationary:11%	-0.0296	0.999999999991643	2085.61	2210	1431	2341	2470	2063	18.42	18.88
Rv0923c	Rv0923c	hypothetical protein	zinc_limitation:13%	-0.023	0.999999794863504	2182.64	2013	2288	2103	2396	2124	285	291.77
aftB	Rv3805c	terminal beta-(1->2)-arabinofuranosyltransferase	high_iron:11%	-0.025	0.999999795850217	2202.3	2230	2154	2170	2379	2084	321.57	329.59
mhpE	Rv3469c	4-hydroxy-2-oxovalerate aldolase MhpE	hypoxia_late:26%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	-0.0278	0.999999851383064	2205.69	2216	2241	2155	2345	2076	14.71	15.11
Rv2957	Rv2957	PGL/p-HBAD biosynthesis glycosyltransferase	INDIGO_exponential:10%; hypoxia_late:10%	-0.0251	0.999999918521493	2158.72	2070	2032	2161	2402	2138	89.66	92.03
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	-0.0246	0.999999981841154	2101.46	1987	1732	2234	2429	2159	1345.46	1379.74
Rv2652c	Rv2652c	prophage protein	hypoxia_late:24%	-0.0315	0.99999991630619	2204.81	2372	2040	2100	2424	2102	28.91	29.86
Rv2570	Rv2570	hypothetical protein	hypoxia_fatty_acids:14%; hypoxia_late:14%; ctl_stationary:13%	-0.0294	0.99999994470771	2167.03	2183	1987	2147	2412	2117	36.94	38.07
MT3412	MT3412	hypothetical protein	INDIGO_exponential:12%; nutrient_limitation:11%; acidic_tyloxopol:11%	-0.0274	0.999999950255818	2142.36	1981	2158	1986	2428	2174	109.56	112.82
Rv0394c	Rv0394c	hypothetical protein	human_sputum:11%	-0.025	0.999999792014956	2180.26	2180	2109	2134	2377	2107	97.08	99.5
eccB2	Rv3895c	ESX-2 secretion system protein EccB	hypoxia_late:25%	-0.0243	0.999999673154019	2190.79	2101	2325	2047	2380	2111	48.9	50.11
pncB2	Rv0573c	nicotinic acid phosphoribosyltransferase PncB2	hypoxia_late:29%; ctl_stationary:14%	-0.0272	0.999999872346141	2163.28	2173	2050	2122	2399	2081	15.28	15.72
glmU	Rv1018c	bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate	tyloxopol:7%	-0.0235	0.999999574371024	2185.06	2121	2291	2042	2389	2092	199.98	204.77
fba	Rv0363c	fructose-bisphosphate aldolase	zinc_limitation:10%	-0.0236	0.999999560291289	2185.12	2159	2237	2074	2383	2080	448.28	459.08
Rv0185	Rv0185	hypothetical protein	zinc_limitation:17%; PBS_RIF_DDmtb:16%	-0.0229	0.999999810954707	2143.38	2002	2159	2004	2419	2146	344.68	353.08
Rv0446c	Rv0446c	transmembrane protein	PBS_RIF_DDmtb:11%	-0.0239	0.999999636184022	2179.19	2104	2273	2038	2381	2109	137.06	140.37
Rv0492A	Rv0492A	hypothetical protein	hypoxia_late:18%	-0.0296	0.99999997795926	2127.76	2037	1926	2166	2413	2112	23.74	24.43
Rv2968c	Rv2968c	integral membrane protein	acidic:11%	-0.0234	0.99999967278618	2172.37	2022	2351	1971	2403	2132	193.04	197.74
pgsA2	Rv1822	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	INDIGO_exponential:8%	-0.0241	0.999999817333388	2145.49	1996	2164	2029	2418	2133	118.79	121.79
thrT	Rvnt06	tRNA-Thr	hypoxia_late:14%; hypoxia_hypoxic:12%	-0.0307	0.999999909247485	2172.76	2339	1921	2224	2290	2103	173.49	178.31
Rv1749c	Rv1749c	integral membrane protein	ctl_exponential:9%	-0.0255	0.999999824072541	2154.09	2053	2081	2180	2353	2110	115.42	118.3
mapB	Rv2861c	methionine aminopeptidase	INDIGO_exponential:12%	-0.0248	0.999999518709813	2187.18	2153	2299	2051	2372	2070	435.41	446.24
Rv3920c	Rv3920c	hypothetical protein	INDIGO_exponential:13%; high_iron:10%	-0.0261	0.999999745491868	2173.26	2198	2071	2176	2364	2064	1562.59	1602.64
cysT	Rv2399c	sulfate ABC transporter permease CysT	PBS_RIF_DDmtb:11%	-0.0263	0.999999732946193	2175.06	2093	2238	2054	2375	2123	88.75	91.14
Rv1828	Rv1828	HTH-type transcriptional regulator	butyrate_plus_glucose:8%	-0.0229	0.999999696774651	2153.64	2012	2213	2028	2406	2121	473.94	485.15
Rv0323c	Rv0323c	hypothetical protein	hypoxia_late:14%; hypoxia_fatty_acids:13%; ctl_stationary:10%	-0.0287	0.999999772665193	2182.9	2342	2031	2202	2264	2083	45.9	47.13
miaA	Rv2727c	tRNA delta(2)-isopentenylpyrophosphate transferase	microaerophilic:23%; hypoxia_late:17%	-0.0267	0.999999666352314	2182.83	2118	2276	2084	2370	2074	73.58	75.52
Rv1702c	Rv1702c	hypothetical protein	hypoxia_late:22%; human_sputum:16%	-0.0271	0.999999889962793	2134.76	2051	1937	2200	2386	2113	83.28	85.58
metC	Rv3340	O-acetylhomoserine sulfhydrylase	acidic_tyloxopol:22%; hypoxia_hypoxic:13%	-0.0242	0.99999986382758	2120.55	1920	2070	2073	2416	2139	54.68	56.08
Rv3269	Rv3269	hypothetical protein	hypoxia_fatty_acids:36%; butyrate:11%	-0.0248	0.999999901573819	2110.09	1983	1872	2194	2405	2116	1002.78	1027.58
Rv0449c	Rv0449c	hypothetical protein	PBS_RIF_DDmtb:35%; hypoxia_late:10%	-0.0263	0.999999723445568	2162.17	2080	2162	2151	2323	2099	44.82	45.98
mtrB	Rv3245c	two component sensory histidine kinase MtrB	PBS_RIF_DDmtb:11%	-0.023	0.999999508651506	2160.89	2016	2314	2001	2392	2096	513.63	525.77
fadA3	Rv1074c	beta-ketoacyl CoA thiolase FadA	PBS_RIF_DDmtb:10%	-0.0239	0.999999547352726	2162	2126	2175	2057	2387	2073	515.88	528.42
MTS0643	MTS0643	small intergenic RNA	INDIGO_exponential:8%	-0.027	0.999999655666623	2170.96	2092	2242	2090	2346	2091	153.62	157.61
glpX	Rv1099c	fructose 1,6-bisphosphatase	hypoxia_late:13%	-0.0243	0.999999652470178	2145.93	2085	2105	2060	2390	2098	205.45	210.55
Rv2037c	Rv2037c	transmembrane protein	hypoxia_fatty_acids:14%; hypoxia_late:11%	-0.0285	0.999999668540366	2178.24	2174	2191	2120	2342	2069	55.16	56.69
cobIJ	Rv2066	bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase	hypoxia_late:20%	-0.0233	0.999999451238233	2157.02	1995	2341	1984	2388	2094	125.76	128.77
Rv2141c	Rv2141c	hypothetical protein	PBS_RIF_DDmtb:12%	-0.0261	0.999999781741338	2140.85	2059	2036	2190	2350	2077	63.36	64.97
MT2807	MT2807	hypothetical protein	hypoxia_late:14%	-0.0287	0.999999852868689	2135.53	2125	1990	2055	2404	2115	79.99	82.32
cobT	Rv2207	nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase	hypoxia_late:16%	-0.0244	0.999999683283323	2138.78	2077	2072	2053	2393	2108	230.99	236.77
thiE	Rv0414c	thiamine-phosphate synthase	hypoxia_late:21%	-0.0275	0.999999854380349	2117.28	1972	1989	2131	2385	2122	58.54	60.17
vapC22	Rv2829c	ribonuclease VapC22	cholesterol:12%; PBS_RIF_DDmtb:11%; microaerophilic:11%	-0.0266	0.999999610585514	2147.39	2065	2156	2081	2363	2079	258.16	264.88
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	-0.0284	0.999999877236814	2113.2	2072	1854	2223	2359	2075	116.83	119.99
MT1232	MT1232	hypothetical protein	human_sputum:10%; acidic_tyloxopol:10%	-0.0269	0.999999994108415	2025	1937	1420	2270	2433	2147	46	47.18
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	-0.0306	0.999999976463542	2085.67	2095	1610	2211	2408	2149	388.04	399.75
rodA	Rv0017c	cell division protein RodA	tyloxopol:13%	-0.0266	0.999999747343093	2134.41	2036	2054	2105	2382	2104	114.76	117.88
narJ	Rv1163	nitrate reductase subunit delta	acidic_tyloxopol:11%; microaerophilic:10%	-0.0258	0.9999996178913	2137.19	2061	2122	2008	2376	2128	213.94	219.67
pyrH	Rv2883c	uridylate kinase	zinc_limitation:11%	-0.0251	0.99999929819572	2145.82	2109	2170	2041	2365	2052	404.3	414.46
PE_PGRS34	Rv1840c	PE-PGRS family protein PE_PGRS34	hypoxia_late:29%; microaerophilic:24%	-0.0269	0.999999795566149	2121.33	2069	1950	2095	2378	2126	51.97	53.45
rskA	Rv0444c	anti-sigma-K factor RskA	high_iron:10%; tyloxopol:10%	-0.0253	0.999999395982999	2145.35	2041	2201	2091	2343	2058	278.38	285.4
Rv2423	Rv2423	hypothetical protein	hypoxia_late:23%; ctl_stationary:13%; human_sputum:10%	-0.0294	0.99999981400746	2131.36	2074	2062	2068	2374	2087	15.7	16.19
Rv1897c	Rv1897c	D-tyrosyl-tRNA(Tyr) deacylase	hypoxia_late:12%; ctl_stationary:12%	-0.0278	0.999999911572902	2088.04	1976	1873	2099	2422	2090	53.52	55.01
echA7	Rv0971c	enoyl-CoA hydratase EchA7	microaerophilic:40%; hypoxia_late:12%	-0.0273	0.999999922692113	2075.44	1917	1798	2133	2414	2142	61.33	63.1
vapC34	Rv1741	ribonuclease VapC34	ctl_stationary:15%; hypoxia_late:10%	-0.029	0.999999785801727	2129.37	2147	1954	2183	2306	2065	111.14	114.04
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	-0.0264	0.999999558954626	2134.68	2005	2155	2140	2320	2060	70.33	72.16
tyrA	Rv3754	prephenate dehydrogenase TyrA	tyloxopol:8%	-0.0257	0.999999573150964	2124.73	1943	2193	2050	2356	2093	86.72	88.92
Rv2750	Rv2750	dehydrogenase	ctl_exponential:8%	-0.0274	0.999998635608851	2170.5	2247	2262	1999	2330	2025	293.12	300.94
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	-0.0352	0.999999679770018	2181.59	2397	2016	2146	2337	2026	81.16	83.75
MT1578.1	MT1578.1	hypothetical protein	human_sputum:21%; hypoxia_late:12%; hypoxia_hypoxic:10%	-0.0372	0.999999987270467	2088.42	2224	1674	2296	2179	2100	27.01	27.78
Rv2663	Rv2663	hypothetical protein	ctl_stationary:16%	-0.032	0.999999834712044	2125.74	2181	1951	2130	2289	2085	52.55	54.06
Rv3922c	Rv3922c	membrane protein insertion efficiency factor	acidic:15%; INDIGO_exponential:11%	-0.0255	0.999999007291259	2132.46	1985	2317	1957	2361	2059	928.62	952.38
fecB	Rv3044	FeIII-dicitrate-binding periplasmic lipoprotein	tyloxopol:8%	-0.0258	0.999999230045695	2127.16	1932	2249	2075	2351	2042	247.65	253.96
Rv3675	Rv3675	membrane protein	acidic:13%	-0.0285	0.999999794544415	2101.23	2119	1805	2207	2333	2061	207.04	212.65
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	-0.0298	0.999999539002558	2142.24	2165	2065	2085	2348	2055	139.93	144.06
