GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_RIF	Rv1473A_DMSO_RIF
sigC	Rv2069	ECF RNA polymerase sigma factor SigC	tyloxopol:18%	-0.0358	0.999982818445286	2061.93	2021	1996	1994	2405	1911	253.01	258.76
Rv0471c	Rv0471c	hypothetical protein	hypoxia_late:8%	-0.0397	0.999992014165852	2058.9	1984	1957	1901	2483	1995	88.2	90.86
cdd	Rv3315c	cytidine deaminase	hypoxia_late:22%	-0.0458	0.999998611588875	2045.38	1935	1852	1988	2472	2007	28.41	29.24
qcrB	Rv2196	ubiquinol-cytochrome C reductase cytochrome subunit B	INDIGO_exponential:11%; tyloxopol:11%; microaerophilic:10%	-0.0272	0.999957940967706	2060.34	1972	2123	2012	2400	1817	1340.39	1363.95
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	-0.0485	0.999997996449186	2058.48	2060	1775	1862	2578	2062	24.11	25.14
Rv3224A	Rv3224A	conserved hypothetical protein	tyloxopol:11%; high_iron:11%	-0.0354	0.999981373245852	2055.82	1969	2025	1986	2395	1921	634.59	648.86
moeW	Rv2338c	molybdopterin biosynthesis protein MoeW	hypoxia_late:15%	-0.0369	0.999983765996714	2051.31	1954	2031	1969	2386	1933	82.48	84.45
Rv3034c	Rv3034c	acetyltransferase	human_sputum:8%	-0.0351	0.999983388363486	2044.77	1907	2023	1961	2415	1938	107.72	110.22
MT2455	MT2455	hypothetical protein	hypoxia_rar:14%	-0.044	0.9999971111382	2041.45	1919	1883	1971	2453	2006	81.1	83.38
rfbD	Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD	INDIGO_exponential:12%	-0.0337	0.999974620928024	2053.47	1953	2044	1967	2407	1915	282.02	288.49
MT3058.1	MT3058.1	hypothetical protein	hypoxia_late:44%	-0.0469	0.999999115009508	2033.2	2012	1721	2032	2397	2032	76.44	78.29
Rv0725c	Rv0725c	hypothetical protein	PBS_RIF_DDmtb:11%	-0.0379	0.999995251739601	2023.95	1844	1841	1944	2508	2018	91.19	93.82
Rv2993c	Rv2993c	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	tyloxopol:13%; INDIGO_exponential:10%	-0.0396	0.999985875219383	2050.13	2008	1964	1980	2396	1920	132.33	135.7
fdhD	Rv2899c	formate dehydrogenase accessory protein FdhD	microaerophilic:9%	-0.0388	0.999984762119908	2048.57	1962	1989	1916	2444	1954	103.53	106.45
MT2601.1	MT2601.1	hypothetical protein	hypoxia_late:19%; ctl_stationary:11%	-0.0455	0.999994516444159	2049.02	1990	1930	1904	2486	1962	55.05	56.78
rphA	Rv1340	ribonuclease PH	hypoxia_rar:8%	-0.0325	0.999970794560976	2041.29	1923	2036	1983	2406	1879	348.73	356.13
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	-0.0321	0.999959758180398	2047.72	2000	2048	1997	2391	1823	2400.04	2450.14
oppA	Rv1280c	oligopeptide ABC transporter substrate-binding lipoprotein OppA	human_sputum:10%	-0.0339	0.999968859987154	2045.22	1955	2041	1972	2404	1874	152.04	155.52
ephD	Rv2214c	oxidoreductase EphD	zinc_limitation:12%	-0.0311	0.999955475467595	2043.68	1974	2069	1982	2371	1841	287.28	293.25
bkdA	Rv2497c	branched-chain keto acid dehydrogenase E1 component subunit alpha	microaerophilic:30%	-0.0369	0.999979837353722	2039.65	1930	1990	1956	2421	1922	274.94	282.16
Rv0026	Rv0026	hypothetical protein	hypoxia_late:13%	-0.0396	0.999986571810898	2039.62	1917	1961	1910	2459	1976	67	69.04
PPE26	Rv1789	PPE family protein PPE26	acidic:10%	-0.0323	0.999957864326321	2042.22	1977	2053	1985	2376	1839	320.35	327.14
Rv1154c	Rv1154c	hypothetical protein	ctl_stationary:9%	-0.0435	0.999991755239808	2038.44	1968	1916	1854	2491	1993	46.38	47.98
mutT2	Rv1160	8-oxo-dGTP diphosphatase	hypoxia_late:18%	-0.0434	0.999992673024551	2036.85	1960	1938	1966	2345	1989	58.7	60.22
Rv1203c	Rv1203c	hypothetical protein	hypoxia_late:28%	-0.0471	0.999994780043216	2040.4	1988	1896	1876	2497	1975	31.45	32.53
mhuD	Rv3592	heme-degrading monooxygenase	tyloxopol:10%	-0.0311	0.999959869602238	2036.33	1924	2068	1993	2379	1838	1323.78	1350.51
Rv1414	Rv1414	hypothetical protein	hypoxia_late:20%	-0.0521	0.999998483226419	2036.61	2054	1809	2003	2344	1991	25.64	26.46
lpqO	Rv0604	lipoprotein LpqO	hypoxia_late:26%	-0.0405	0.999985497699141	2037.44	1992	1936	1962	2389	1926	72.35	74.27
pssA	Rv0436c	CDP-diacylglycerol--serine O-phosphatidyltransferase	hypoxia_late:10%	-0.0344	0.999969063228569	2034.76	1892	2060	1946	2382	1913	180.28	184.36
Rv2705c	Rv2705c	hypothetical protein	human_sputum:11%	-0.0422	0.999989980587217	2030.37	1927	1935	1930	2427	1955	101.32	104.16
MT3767.3	MT3767.3	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:16%; ctl_stationary:14%; human_sputum:13%	-0.0617	0.999999975938706	1994.06	2144	1238	1965	2306	2444	2.51	2.69
cobH	Rv2065	precorrin-8X methylmutase	hypoxia_late:23%	-0.0435	0.999982265580362	2042.06	2099	1887	1957	2381	1906	139.07	142.89
Rv3541c	Rv3541c	hypothetical protein	human_sputum:19%; microaerophilic:13%; hypoxia_fatty_acids:11%	-0.0501	0.999998014347759	2020.92	1911	1834	1859	2551	1990	21.7	22.51
MT0291.2	MT0291.2	hypothetical protein	microaerophilic:43%; hypoxia_late:16%; ctl_stationary:11%	-0.0627	0.999999835336436	2026.19	2045	1700	1866	2493	2069	11.64	12.19
Rv0071	Rv0071	maturase	hypoxia_late:17%; ctl_stationary:14%	-0.0463	0.999994081673998	2028.42	1979	1872	1959	2373	1977	28.59	29.41
MT2837	MT2837	hypothetical protein	hypoxia_late:41%	-0.0591	0.999997580275046	2048.8	2098	1862	1846	2524	1950	22.91	23.98
mce1F	Rv0174	Mce family protein Mce1F	butyrate_plus_glucose:12%	-0.0294	0.999939600170034	2030.92	1936	2097	2002	2361	1781	796	811.13
oppC	Rv1282c	oligopeptide ABC transporter permease OppC	hypoxia_late:8%	-0.04	0.999983699536114	2025.59	1894	1966	1892	2443	1958	77.65	79.93
PPE24	Rv1753c	PPE family protein PPE24	hypoxia_late:28%; human_sputum:13%; ctl_stationary:10%	-0.0392	0.999970204357983	2036.81	2017	1994	1949	2357	1883	41.54	42.63
MT1945	MT1945	hypothetical protein	human_sputum:16%; PBS_RIF_DDmtb:14%; hypoxia_late:13%	-0.0488	0.999999348755444	1982.64	1846	1586	1830	2689	2044	13.68	14.42
clpC1	Rv3596c	ATP-dependent protease ATP-binding subunit ClpC	zinc_limitation:13%	-0.0291	0.999938145903792	2026.32	1896	2107	1989	2360	1802	1100.55	1121.35
thrV	Rvnt09	tRNA-Thr	hypoxia_late:18%; hypoxia_hypoxic:13%	-0.0593	0.999998836077427	2034.1	2073	1830	1937	2309	2037	43.53	44.98
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	-0.0372	0.999967469854915	2029.59	2006	1974	1984	2354	1847	153.43	157.1
PE_PGRS14	Rv0834c	PE-PGRS family protein PE_PGRS14	microaerophilic:59%	-0.0452	0.999992179295895	2010.34	1934	1806	1947	2403	1986	85.57	88.13
aceAa	Rv1915	isocitrate lyase AceAa	acidic_tyloxopol:8%	-0.035	0.999958252315926	2020.5	1916	2043	1953	2356	1853	192.14	196.55
Rv2956	Rv2956	hypothetical protein	human_sputum:17%	-0.0429	0.999977748762458	2034.47	1989	1982	1936	2399	1886	178.92	184.13
Rv2506	Rv2506	TetR family transcriptional regulator	hypoxia_late:11%	-0.0438	0.999986923992142	2019.69	1913	1968	1941	2347	1945	55.69	57.23
Rv2159c	Rv2159c	hypothetical protein	microaerophilic:20%; cholesterol:14%; acidic_tyloxopol:10%	-0.0454	0.99999112805492	2007.31	1944	1808	1951	2384	1972	419.26	431.93
Rv2573	Rv2573	2-dehydropantoate 2-reductase	hypoxia_late:38%	-0.0513	0.999992776881784	2031.85	2052	1907	1889	2327	1999	20.75	21.44
nadE	Rv2438c	glutamine-dependent NAD(+) synthetase	hypoxia_late:8%	-0.0383	0.999969361826648	2008.56	1876	1956	1939	2408	1887	171.85	176.48
Rv2425c	Rv2425c	hypothetical protein	hypoxia_late:14%	-0.0391	0.999968700647567	2015.46	1928	1970	1932	2383	1884	128.06	131.56
Rv0030	Rv0030	hypothetical protein	hypoxia_late:10%; acidic_tyloxopol:10%	-0.049	0.999993380883912	2007.36	1932	1818	1802	2521	2004	57.77	60.08
Rv0028	Rv0028	hypothetical protein	acidic_tyloxopol:9%	-0.0509	0.999996010996951	2004.32	1874	1822	1880	2513	1970	52.52	54.52
mce1R	Rv0165c	transcriptional regulator Mce1R	acidic_tyloxopol:14%	-0.0392	0.999959890570665	2018.88	1998	1971	1929	2355	1859	248.31	254.77
Rv3008	Rv3008	hypothetical protein	ctl_stationary:8%	-0.0417	0.999979013849623	2005.22	1880	1917	1897	2423	1934	154.39	159.09
Rv2722	Rv2722	hypothetical protein	hypoxia_hypoxic:8%	-0.0492	0.999994183535531	2002.32	1885	1833	1906	2450	1967	84.6	87.43
Rv1987	Rv1987	chitinase	tyloxopol:16%; INDIGO_exponential:11%	-0.0415	0.999969862331097	2010.65	1915	1972	1938	2385	1864	431.89	443.95
Rv0218	Rv0218	transmembrane protein	hypoxia_late:25%; human_sputum:10%	-0.0483	0.999988747690206	2008.84	1948	1898	1914	2380	1924	21.35	22.05
ribF	Rv2786c	bifunctional riboflavin kinase /FMN adenylyltransferase	hypoxia_late:11%	-0.0377	0.999961845774214	1995.99	1817	2019	1917	2353	1895	122.63	125.68
uvrC	Rv1420	excinuclease ABC subunit UvrC	ctl_stationary:9%	-0.036	0.999942013808354	2005.51	1904	2028	1927	2341	1846	144.5	148.1
lysA	Rv1293	diaminopimelate decarboxylase	INDIGO_exponential:8%	-0.0374	0.999955367092471	2004.14	1875	2012	1924	2364	1866	213.21	218.79
cobT	Rv2207	nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase	hypoxia_late:16%	-0.0401	0.999972837804484	1994.1	1908	1881	1963	2392	1850	231.56	237.63
bioA	Rv1568	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	hypoxia_late:20%	-0.044	0.999973399311043	2006.58	1967	1914	1912	2368	1891	66.88	68.92
Rv0143c	Rv0143c	transmembrane protein	hypoxia_late:8%	-0.0368	0.999937443747807	2006.35	1950	2014	1940	2325	1820	169.99	174.08
PPE25	Rv1787	PPE family protein PPE25	hypoxia_late:21%; human_sputum:10%	-0.0449	0.999981505858568	1992.35	1866	1905	1869	2410	1937	44.77	46.23
opcA	Rv1446c	OXPP cycle protein OpcA	human_sputum:11%	-0.0385	0.999949297336388	1996.22	1879	2015	1913	2339	1854	173.45	177.9
Rv1410c	Rv1410c	aminoglycosides/tetracycline-transport integral membrane protein	zinc_limitation:10%	-0.0333	0.999915535820116	1997.4	1909	2057	1970	2323	1750	803.82	821.49
hsaD	Rv3569c	4,5:9,10-diseco-3-hydroxy-5,9, 17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hypoxia_fatty_acids:25%; nutrient_limitation:11%	-0.0418	0.999968043887198	1993.29	1854	1958	1885	2374	1917	102.98	106.01
PPE37	Rv2123	PPE family protein PPE37	low_iron:34%; hypoxia_late:10%	-0.0494	0.999993160066268	1979.97	1830	1774	1840	2506	1992	18.11	18.87
Rv3282	Rv3282	hypothetical protein	human_sputum:13%; INDIGO_exponential:10%	-0.0359	0.999940162332048	1987.69	1819	2038	1922	2338	1843	330.08	337.97
mazF1	Rv0456A	toxin MazF1	ctl_stationary:16%; hypoxia_late:15%; INDIGO_exponential:10%	-0.0606	0.999999634638711	1953.45	1799	1457	1767	2685	2167	39.03	41.47
lpqB	Rv3244c	lipoprotein LpqB	microaerophilic:13%; PBS_RIF_DDmtb:11%	-0.0362	0.99991655037042	2004.43	1970	2034	1933	2320	1784	294.47	301.7
Rv3243c	Rv3243c	hypothetical protein	PBS_RIF_DDmtb:12%	-0.0418	0.999967305933352	1989.71	1835	1965	1888	2375	1908	102.79	105.76
mmpL13b	Rv1146	transmembrane transport protein	hypoxia_late:17%; PBS_RIF_DDmtb:16%; ctl_stationary:10%	-0.048	0.999989971951505	1976.66	1822	1819	1873	2463	1941	23.16	24.01
Rv1421	Rv1421	hypothetical protein	zinc_limitation:7%	-0.0409	0.999944956772124	1998.31	1942	1979	1891	2335	1862	175.27	180.27
Rv3736	Rv3736	AraC/XylS family transcriptional regulator	PBS_RIF_DDmtb:18%	-0.045	0.999976547886173	1989.81	1884	1891	1903	2390	1904	64.35	66.36
Rv1262c	Rv1262c	hypothetical protein	tyloxopol:10%	-0.052	0.999987318364453	1996.33	1938	1871	1824	2452	1927	51.02	52.94
Rv2887	Rv2887	HTH-type transcriptional regulator	PBS_RIF_DDmtb:8%	-0.0461	0.999978009058841	1985.79	1863	1903	1822	2430	1940	102.87	106.36
sigD	Rv3414c	ECF RNA polymerase sigma factor SigD	tyloxopol:11%	-0.0348	0.9999130940376	1991.05	1922	2033	1955	2314	1752	800.9	819.12
mbtN	Rv1346	acyl-ACP dehydrogenase MbtN	low_iron:33%	-0.0395	0.99995395241809	1977.53	1780	2007	1874	2358	1893	92.55	95.04
PE_PGRS16	Rv0977	PE-PGRS family protein PE_PGRS16	microaerophilic:25%; hypoxia_late:19%	-0.0453	0.999977888900945	1973.84	1867	1840	1952	2363	1870	31.51	32.45
pks8	Rv1662	polyketide synthase	hypoxia_late:33%	-0.0425	0.999940645152939	1987.85	1966	1940	1920	2319	1812	41.41	42.62
Rv1502	Rv1502	hypothetical protein	INDIGO_exponential:11%	-0.0443	0.999957077082005	1983.5	1900	1949	1908	2351	1830	210.18	216.56
Rv1772	Rv1772	hypothetical protein	nutrient_limitation:13%	-0.0455	0.999967780615423	1975.95	1910	1854	1907	2366	1865	415.3	428.24
fadE5	Rv0244c	acyl-CoA dehydrogenase FadE5	low_iron:23%	-0.0406	0.999931869321947	1985.19	1920	1980	1918	2334	1794	228.53	234.86
fabG2	Rv1350	3-oxoacyl-ACP reductase FabG	hypoxia_late:14%	-0.0502	0.99998271920621	1972.84	1888	1856	1865	2348	1928	35.75	36.95
pknJ	Rv2088	transmembrane serine/threonine-protein kinase PknJ	hypoxia_late:23%	-0.0431	0.999950026335597	1975.04	1853	1975	1894	2302	1868	47.75	49.12
ephB	Rv1938	epoxide hydrolase EphB	hypoxia_late:25%	-0.0581	0.999991261887886	1979.28	1899	1851	1810	2461	1909	9.94	10.38
Rv3104c	Rv3104c	transmembrane protein	zinc_limitation:10%	-0.0385	0.999927900461375	1972.28	1834	1997	1915	2322	1814	270	276.91
Rv0265c	Rv0265c	iron ABC transporter substrate-binding lipoprotein	hypoxia_late:11%	-0.0422	0.999935260814631	1983.83	1931	1977	1905	2296	1826	138.17	142.03
Rv3835	Rv3835	hypothetical protein	hypoxia_late:10%	-0.0399	0.99993706128582	1967.61	1813	2000	1890	2321	1835	105.75	108.57
Rv0007	Rv0007	membrane protein	acidic:8%	-0.0355	0.999895646488958	1967.26	1829	2042	1928	2304	1756	619.67	634.41
Rv2288	Rv2288	hypothetical protein	acidic:12%	-0.0498	0.999977027604624	1969.24	1878	1849	1838	2398	1910	93.51	96.78
Rv3224B	Rv3224B	conserved hypothetical protein	high_iron:11%	-0.0409	0.999939757033576	1962.09	1776	1993	1860	2336	1869	518.34	532.59
MT2370.2	MT2370.2	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%; PBS_RIF_DDmtb:10%	-0.0761	0.999999613325537	1963.84	2076	1549	2026	2206	1996	10.76	11.13
mtc28	Rv0040c	hypothetical protein	tyloxopol:14%; hypoxia_hypoxic:13%	-0.0413	0.999936188025032	1963.12	1905	1890	1934	2337	1772	731.2	751.19
MT0470	MT0470	hypothetical protein	human_sputum:12%	-0.0512	0.999984681924624	1946.13	1831	1759	1942	2342	1882	95.47	98.72
mcr19	Rvnc0004	fragment of putative small regulatory RNA	microaerophilic:22%; low_iron:11%	-0.0529	0.999987071733369	1947.83	1771	1825	1820	2409	1947	205.37	212.93
MT2369	MT2369	hypothetical protein	hypoxia_late:43%	-0.0914	0.999999999889941	1941.43	1869	1441	1615	2790	2126	11.51	12.77
ptpA	Rv2234	protein-tyrosine-phosphatase	ctl_stationary:9%	-0.0484	0.999968860838918	1961.71	1823	1915	1853	2318	1919	82.02	84.62
ripB	Rv1478	peptidoglycan endopeptidase RipB	tyloxopol:15%; high_iron:14%	-0.0396	0.999898678539661	1970.11	1925	1984	1919	2293	1749	484.41	497.1
Rv3798	Rv3798	insertion sequence element IS1557 transposase	hypoxia_late:10%	-0.0374	0.999901337298904	1957.69	1801	2016	1909	2298	1786	243.54	249.72
lpqU	Rv1022	lipoprotein LpqU	hypoxia_late:13%; human_sputum:12%	-0.0472	0.99995710518377	1964.08	1889	1878	1883	2330	1860	118.97	122.76
Rv3691	Rv3691	hypothetical protein	hypoxia_late:13%	-0.0493	0.999959970780071	1968.88	1937	1869	1893	2329	1836	75.3	77.79
Rv0433	Rv0433	carboxylate-amine ligase	INDIGO_exponential:10%	-0.0401	0.999902925512418	1966.2	1864	2005	1899	2294	1788	254.26	261.21
arsB1	Rv2685	arsenic-transport integral membrane protein ArsB	PBS_RIF_DDmtb:10%	-0.0468	0.999952695051432	1956.44	1857	1866	1852	2352	1878	92.62	95.79
Rv3209	Rv3209	hypothetical protein	tyloxopol:13%; butyrate_plus_glucose:10%; high_iron:10%	-0.0453	0.999942496222521	1955.43	1838	1899	1855	2340	1867	277.14	286.19
Rv3654c	Rv3654c	hypothetical protein	hypoxia_late:30%	-0.0587	0.999991191402101	1942.47	1841	1758	1847	2362	1932	50.75	52.74
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	-0.047	0.999933507377758	1975.53	2039	1863	1898	2299	1798	142.06	146.44
Rv0210	Rv0210	hypothetical protein	hypoxia_late:32%	-0.0483	0.999958049823668	1951.37	1856	1867	1878	2292	1881	38.95	40.2
Rv1973	Rv1973	Mce associated membrane protein	hypoxia_late:40%; ctl_stationary:12%	-0.0662	0.999998977862	1924.08	1918	1434	1931	2448	1957	8.92	9.35
Rv3225c	Rv3225c	GCN5-like N-acetyltransferase	PBS_RIF_DDmtb:12%	-0.0422	0.999906290268135	1957.37	1882	1954	1896	2297	1777	179.22	184.36
MT3322	MT3322	hypothetical protein	high_iron:11%	-0.0424	0.999924173765989	1944.64	1763	1978	1839	2310	1856	522.07	537.1
vapC18	Rv2546	ribonuclease VapC18	hypoxia_late:27%; PBS_RIF_DDmtb:24%; ctl_stationary:15%	-0.0722	0.999999259239405	1933.28	1902	1451	1709	2710	2002	7.26	7.88
Rv0299	Rv0299	toxin	tyloxopol:10%	-0.0389	0.999873536365202	1943.15	1786	2017	1887	2290	1759	1025.11	1051.87
phoP	Rv0757	two component system response transcriptional positive regulator PhoP	hypoxia_fatty_acids:8%	-0.0442	0.999917640194462	1944.02	1798	1960	1867	2301	1815	269.56	277.86
Rv2617c	Rv2617c	transmembrane protein	low_iron:24%; hypoxia_fatty_acids:12%	-0.0508	0.999964258027318	1940.89	1850	1832	1911	2280	1849	139.31	143.84
Rv2323c	Rv2323c	hypothetical protein	ctl_stationary:15%; hypoxia_late:12%; hypoxia_fatty_acids:11%; PBS_RIF_DDmtb:10%	-0.0546	0.999977018347511	1941.42	1788	1861	1787	2402	1901	24.32	25.3
prcA	Rv2109c	proteasome subunit alpha	INDIGO_exponential:9%	-0.0408	0.999870972289498	1947.73	1861	1987	1895	2285	1732	605.27	622.31
Rv1610	Rv1610	membrane protein	hypoxia_late:18%	-0.0463	0.999915794139018	1955.11	1961	1880	1886	2287	1780	260.33	268.33
fpg	Rv2924c	formamidopyrimidine-DNA glycosylase	hypoxia_late:19%; ctl_stationary:12%	-0.049	0.999957770754793	1933.32	1741	1908	1809	2346	1890	53.54	55.39
MT0204.1	MT0204.1	hypothetical protein	hypoxia_late:30%; ctl_stationary:19%; human_sputum:12%; PBS_RIF_DDmtb:12%	-0.0929	0.999999999976431	1894.57	1986	1262	1703	2478	2162	1.32	1.57
MT0031	MT0031	hypothetical protein	human_sputum:10%	-0.0628	0.999995248634939	1905.2	1802	1540	1831	2467	1944	58.59	61.14
echA18.1	Rv3374	enoyl-CoA hydratase echA18_1	hypoxia_late:14%; PBS_RIF_DDmtb:12%	-0.0624	0.999990018430965	1927.06	1840	1670	1789	2418	1959	62.08	65.09
vapC29	Rv0617	ribonuclease VapC29	ctl_stationary:10%	-0.0509	0.999942262723506	1939.76	1858	1882	1829	2308	1842	161.23	166.83
Rv3200c	Rv3200c	transmembrane cation transporter	tyloxopol:9%	-0.0427	0.99985274902173	1942.21	1906	1955	1881	2260	1728	325.3	334.86
glpD1	Rv2249c	glycerol-3-phosphate dehydrogenase	hypoxia_late:28%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	-0.0522	0.999953306432568	1935.62	1849	1842	1851	2312	1845	37.77	39.11
Rv1358	Rv1358	transcriptional regulator	hypoxia_late:29%; ctl_stationary:13%; human_sputum:12%; PBS_RIF_DDmtb:10%	-0.0547	0.999967677792045	1931.75	1826	1827	1882	2279	1863	8.73	9.07
fucA	Rv0727c	L-fuculose phosphate aldolase FucA	hypoxia_late:14%; ctl_stationary:10%	-0.0566	0.999966029190029	1934.6	1868	1779	1784	2369	1902	50.01	52.18
vapC36	Rv1982c	ribonuclease VapC36	human_sputum:14%	-0.0564	0.999979280242346	1910.67	1750	1686	1777	2451	1936	97.41	101.87
Rv1855c	Rv1855c	oxidoreductase	zinc_limitation:8%	-0.0456	0.999892825796828	1937.31	1871	1926	1864	2273	1771	205.13	211.61
Rv0313	Rv0313	hypothetical protein	hypoxia_fatty_acids:14%; ctl_stationary:13%	-0.0437	0.999897763833562	1923.55	1797	1911	1902	2286	1744	810.73	834.85
Rv0569	Rv0569	hypothetical protein	cholesterol:23%; ctl_stationary:20%	-0.052	0.999964097735969	1912.67	1738	1787	1837	2359	1873	251.36	260.79
mmuM	Rv2458	homocysteine S-methyltransferase MmuM	hypoxia_late:23%	-0.0535	0.999967005325916	1915.96	1713	1853	1796	2349	1899	31.43	32.61
Rv0669c	Rv0669c	neutral ceramidase	PBS_RIF_DDmtb:43%	-0.0429	0.999835211631519	1937.31	1893	1967	1870	2263	1714	184.72	190.13
esxE	Rv3904c	ESAT-6 like protein EsxE	hypoxia_late:34%; ctl_stationary:12%	-0.0617	0.99997945539529	1928.17	1912	1709	1805	2324	1918	65.45	68.16
Rv1254	Rv1254	acyltransferase	hypoxia_fatty_acids:9%	-0.0485	0.999914458318106	1937.28	1883	1888	1857	2275	1801	100.21	103.47
Rv2513	Rv2513	hypothetical protein	nutrient_limitation:9%	-0.0537	0.999953386979486	1930.54	1851	1823	1834	2328	1840	155.78	161.55
rimP	Rv2842c	ribosome maturation factor RimP	nutrient_limitation:8%	-0.0458	0.999914670838612	1925.45	1781	1901	1861	2289	1816	320.31	330.6
PPE8	Rv0355c	PPE family protein PPE8	hypoxia_late:23%; ctl_stationary:15%; human_sputum:11%	-0.0436	0.999853546947098	1932.87	1842	1986	1884	2248	1724	22.57	23.26
lprP	Rv0962c	lipoprotein LprP	hypoxia_late:12%; microaerophilic:12%	-0.0558	0.999974550987158	1901.49	1680	1728	1765	2433	1948	56.58	59.21
vapB46	Rv3385c	antitoxin VapB46	cholesterol:8%	-0.0512	0.999913507651165	1934.93	1939	1860	1871	2255	1767	404.46	418.16
Rv0749A	Rv0749A	hypothetical protein	human_sputum:12%	-0.0702	0.999999066593196	1866.07	1764	1239	1740	2610	2115	66.88	71.31
Rv1977	Rv1977	hypothetical protein	ctl_stationary:11%	-0.0491	0.999920304069843	1914.82	1716	1925	1817	2278	1861	55.58	57.41
Rv2953	Rv2953	trans-acting enoyl reductase	tyloxopol:10%	-0.0468	0.99985324580307	1928.67	1887	1944	1875	2249	1708	202.38	208.7
fadE18	Rv1933c	acyl-CoA dehydrogenase FadE18	hypoxia_late:12%	-0.0442	0.999816969465286	1918.41	1855	1946	1868	2233	1709	242.76	249.84
epiA	Rv1512	nucleotide-sugar epimerase EpiA	high_iron:9%	-0.0449	0.999855675524648	1909.43	1758	1948	1845	2252	1765	172.97	178.19
Rv2390c	Rv2390c	hypothetical protein	hypoxia_rar:14%; nutrient_limitation:10%	-0.0557	0.999952240788342	1902.83	1746	1816	1761	2350	1872	61.57	64.05
secD	Rv2587c	protein translocase subunit SecD	zinc_limitation:8%	-0.0416	0.999718982588516	1917.06	1860	1981	1872	2228	1666	412.42	423.99
hflX	Rv2725c	GTP-binding protein HflX	zinc_limitation:9%	-0.0444	0.999805182328417	1915.07	1873	1909	1877	2254	1684	321.58	331.13
amiD	Rv3375	amidase	hypoxia_late:15%; PBS_RIF_DDmtb:13%	-0.0544	0.999944999572386	1898.96	1755	1798	1821	2315	1832	45.2	46.97
Rv1888c	Rv1888c	transmembrane protein	INDIGO_exponential:8%	-0.0522	0.999921510806514	1910.05	1767	1885	1816	2283	1821	125.05	129.51
MT0717.1	MT0717.1	hypothetical protein	ctl_stationary:21%	-0.0651	0.999978674909057	1905.8	1859	1668	1736	2394	1912	65.91	69.13
AS1890	AS1890	putative small regulatory RNA	ctl_stationary:18%; PBS_RIF_DDmtb:17%; hypoxia_late:15%	-0.0807	0.999995053963584	1927.36	1945	1688	1759	2393	1889	15.3	16.25
aroD	Rv2537c	3-dehydroquinate dehydratase	low_iron:8%	-0.0477	0.999859155983348	1913	1833	1922	1843	2229	1755	310.7	320.47
panC	Rv3602c	pantothenate synthetase	hypoxia_late:10%	-0.049	0.999883798515404	1911.43	1778	1928	1818	2267	1787	138.59	143.32
Rv0370c	Rv0370c	oxidoreductase	hypoxia_late:28%; ctl_stationary:13%; human_sputum:10%	-0.0703	0.999995575145473	1876.81	1779	1425	1665	2600	2015	8.04	8.69
vapC41	Rv2602	ribonuclease VapC41	INDIGO_exponential:10%; tyloxopol:10%	-0.0465	0.999845439952093	1898.6	1735	1950	1815	2256	1760	362.17	373.66
Rv1313c	Rv1313c	insertion sequence element IS1557 transposase	hypoxia_late:10%	-0.0432	0.999760414520684	1895.54	1749	1973	1842	2235	1702	244.31	251.52
mec	Rv1334	CysO-cysteine peptidase	tyloxopol:8%	-0.0521	0.999884943148504	1902.86	1821	1855	1799	2262	1797	226.91	235.14
Rv1333	Rv1333	hydrolase	hypoxia_late:9%	-0.0473	0.999811213911534	1901.16	1807	1932	1841	2234	1712	286.07	295.43
Rv3784	Rv3784	dTDP-glucose 4,6-dehydratase	hypoxia_late:11%; INDIGO_exponential:10%	-0.0556	0.999937533303926	1889.46	1711	1802	1790	2326	1848	64.57	67.21
Rv3033	Rv3033	hypothetical protein	hypoxia_late:12%	-0.067	0.999974260150061	1893.62	1808	1751	1719	2370	1855	24.19	25.37
ethR	Rv3855	HTH-type transcriptional repressor EthR	nutrient_limitation:15%; INDIGO_exponential:13%	-0.0604	0.999972432029658	1864.97	1681	1583	1770	2420	1925	84.43	88.52
MT4041.2	MT4041.2	hypothetical protein	hypoxia_hypoxic:17%; hypoxia_rar:15%; human_sputum:14%	-0.0525	0.999873603424702	1899.96	1848	1859	1836	2208	1764	443.02	458.15
Rv1616	Rv1616	hypothetical protein	tyloxopol:8%	-0.0523	0.999889757044547	1891.26	1765	1839	1786	2276	1813	290.87	302
