GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_ATC_noDrug
Rv2672	Rv2672	protease	hypoxia_late:11%	-0.0044	0.999999960210095	2178.64	2081	2168	2052	2640	1982	82.96	82.72
Rv1865c	Rv1865c	short-chain type dehydrogenase	hypoxia_late:17%; ctl_stationary:12%	-0.008	0.999999999014168	2126.94	1985	1983	2015	2651	2037	37.41	37.4
hemE	Rv2678c	uroporphyrinogen decarboxylase	hypoxia_late:9%	-0.0033	0.999999936514398	2180.85	2060	2178	2069	2663	1967	235.61	234.94
Rv0786c	Rv0786c	hypothetical protein	hypoxia_late:10%	-0.008	0.99999999649848	2129.75	1974	2038	2005	2646	2021	98.81	98.85
ptrBb	Rv0782	protease II ptrBb	human_sputum:17%; hypoxia_late:14%	-0.0066	0.999999995112574	2120.61	1860	2084	2001	2685	2018	41.12	41.16
lepA	Rv2404c	GTP-binding protein LepA	hypoxia_late:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%	-0.0066	0.999999977265303	2167.23	2118	2212	2023	2595	1918	71.13	71.03
menD	Rv0555	bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	hypoxia_late:10%	-0.0029	0.999999899777017	2182.86	2058	2243	2075	2671	1905	315.5	314.58
pepQ	Rv2535c	cytoplasmic peptidase PepQ	microaerophilic:8%	-0.0034	0.999999941948259	2173.98	2020	2219	2059	2665	1943	270.33	269.63
recB	Rv0630c	exonuclease V subunit beta RecB	hypoxia_late:43%	-0.0071	0.999999988055782	2142.47	2031	2187	2017	2580	1927	35.99	35.98
Rv2075c	Rv2075c	hypothetical protein	PBS_RIF_DDmtb:12%	-0.0065	0.999999994459595	2120.23	2011	2118	2012	2601	1893	229.36	229.38
Rv2561	Rv2561	conserved hypothetical protein	tyloxopol:11%	-0.0075	0.999999978197865	2166.58	2625	1721	1921	2558	2080	57.97	57.94
grcC1	Rv0562	polyprenyl-diphosphate synthase GrcC	high_iron:8%	-0.0051	0.999999976156496	2143.77	2028	2095	2025	2660	1947	296.41	296.1
treX	Rv1564c	maltooligosyl trehalose synthase	hypoxia_late:11%	-0.0069	0.999999992914485	2122.02	2024	2082	2011	2614	1913	80.92	80.92
MT0472.1	MT0472.1	hypothetical protein	ctl_stationary:15%; hypoxia_late:14%	-0.0083	0.999999999957829	2106.37	1977	1809	1984	2779	2045	27.75	27.84
rplF	Rv0719	50S ribosomal protein L6	high_iron:9%	-0.0056	0.999999986210974	2124.28	2029	2106	2016	2620	1886	1403.65	1402.91
Rv1433	Rv1433	hypothetical protein	tyloxopol:10%	-0.0058	0.9999999774928	2141.44	2012	2177	2020	2615	1917	247.51	247.32
pgk	Rv1437	phosphoglycerate kinase	high_iron:12%; INDIGO_exponential:10%	-0.0047	0.999999969174875	2142.14	2064	2073	2031	2656	1923	545.57	544.89
TB27.3	Rv0577	hypothetical protein	PBS_RIF_DDmtb:8%	-0.0057	0.999999966194754	2147.68	2076	2096	2035	2624	1939	260.98	260.58
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	-0.0058	0.999999963658724	2149.45	2054	2165	2034	2610	1916	333.31	332.76
esxB	Rv3874	ESAT-6-like protein EsxB	human_sputum:12%	-0.0041	0.999999924804897	2167.52	2082	2214	2046	2639	1892	11666.7	11643.24
MT1070.1	MT1070.1	hypothetical protein	PBS_RIF_DDmtb:13%; ctl_stationary:12%	-0.0087	0.99999999816511	2105.38	2279	1590	1951	2705	2082	29.55	29.62
thrA	Rv1294	homoserine dehydrogenase	hypoxia_rar:8%	-0.0037	0.999999922104452	2160.49	2017	2210	2051	2655	1907	388.95	388.14
Rv3723	Rv3723	transmembrane protein	microaerophilic:9%	-0.0051	0.999999962426535	2141.95	2013	2174	2026	2626	1906	540.41	539.89
nucS	Rv1321	endonuclease NucS	PBS_RIF_DDmtb:9%	-0.0072	0.999999987609716	2120.56	1986	2026	1993	2659	1977	198.22	198.48
MT1075.1	MT1075.1	hypothetical protein	human_sputum:18%	-0.0085	0.999999981846571	2135.69	2219	1994	1998	2575	1924	158.82	158.95
smtB	Rv2358	HTH-type transcriptional regulator SmtB	hypoxia_fatty_acids:15%	-0.0089	0.999999987311284	2128.01	1965	2139	2002	2607	1960	150.67	150.76
cyp144	Rv1777	cytochrome P450 Cyp144	hypoxia_late:20%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	-0.0079	0.999999998178013	2087.94	1895	1605	1892	3012	2162	14.07	14.21
pknB	Rv0014c	serine/threonine-protein kinase PknB	tyloxopol:10%	-0.0054	0.999999942930707	2146.44	2066	2180	2033	2608	1879	195.35	195.12
nirB	Rv0252	nitrite reductase large subunit NirB	nutrient_limitation:18%; hypoxia_late:14%; hypoxia_rar:12%; hypoxia_hypoxic:12%	-0.0043	0.999999997395684	2054.67	1702	1749	1966	2794	2150	41.42	41.5
Rv2059	Rv2059	hypothetical protein	zinc_limitation:15%; human_sputum:13%	-0.0077	0.999999989454701	2107.46	1959	2148	2008	2587	1871	153.93	154.02
mihF	Rv1388	integration host factor MihF	zinc_limitation:13%; hypoxia_rar:11%	-0.0088	0.999999989256165	2116.23	1978	2002	1989	2637	2011	1223.29	1224.48
Rv3405c	Rv3405c	HTH-type transcriptional regulator	hypoxia_fatty_acids:11%	-0.0103	0.999999984879432	2130.47	1995	2140	1982	2593	1973	71.85	71.93
PE_PGRS58	Rv3590c	PE-PGRS family protein PE_PGRS58	hypoxia_late:34%	-0.0096	0.999999985584271	2124	2186	1991	1994	2566	1914	61.9	61.99
MT1054.1	MT1054.1	hypothetical protein	butyrate_plus_glucose:13%; acidic_tyloxopol:11%	-0.0122	0.999999999703633	2105.04	2218	1743	1999	2622	1993	97.12	97.33
PE12	Rv1172c	PE family protein PE12	acidic_tyloxopol:10%; PBS_RIF_DDmtb:10%	-0.0078	0.99999998207576	2114.31	1998	2136	2006	2577	1887	216.87	216.98
PPE24	Rv1753c	PPE family protein PPE24	hypoxia_late:28%; human_sputum:13%; ctl_stationary:10%	-0.0073	0.999999970975401	2124.79	1988	2043	1969	2661	2001	39.87	39.94
gmdA	Rv1511	GDP-D-mannose dehydratase GmdA	INDIGO_exponential:8%	-0.0072	0.999999973009761	2117.32	1990	2110	1992	2602	1926	204.23	204.43
garA	Rv1827	glycogen accumulation regulator GarA	acidic:9%	-0.0067	0.99999997083795	2114.04	2014	2173	2009	2583	1828	1428.85	1428.65
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	-0.0048	0.99999988008108	2131.61	2016	2223	2038	2605	1816	2658.14	2653.92
MT0610	MT0610	hypothetical protein	ctl_stationary:10%	-0.0087	0.999999982190309	2101.35	1958	2103	2003	2571	1904	198.07	198.16
fadD6	Rv1206	fatty-acid--CoA ligase FadD6	hypoxia_late:14%	-0.0084	0.999999974001299	2115.16	1996	2169	2004	2556	1882	84.7	84.74
Rv2180c	Rv2180c	integral membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	-0.0097	0.999999990692816	2081.78	1773	2064	2018	2588	2007	35.83	35.84
serU	Rvnt45	tRNA-Ser	hypoxia_late:20%; PBS_RIF_DDmtb:12%	-0.0157	0.999999998509388	2103.68	1987	1870	1889	2726	2101	31.25	31.57
Rv1250	Rv1250	MFS-type drug transporter	hypoxia_late:12%	-0.0091	0.999999979264408	2096.55	1931	2048	1985	2596	1957	46.3	46.36
MT3275.1	MT3275.1	hypothetical protein	hypoxia_late:25%; ctl_stationary:18%	-0.0109	0.99999996993903	2121.2	1968	2107	1952	2630	1985	21.58	21.64
ribC	Rv1412	riboflavin synthase	hypoxia_late:11%	-0.0113	0.999999976681411	2114.56	1999	2044	1957	2627	1981	70.24	70.5
pta	Rv0408	phosphate acetyltransferase	hypoxia_late:10%	-0.008	0.999999963563718	2100.4	1992	2067	1990	2591	1896	105.02	105.12
Rv2739c	Rv2739c	transferase	hypoxia_late:28%	-0.0105	0.999999980883567	2086.08	1991	2058	2000	2521	1888	129.45	129.65
glnB	Rv2919c	nitrogen regulatory protein P-II	nutrient_limitation:14%	-0.0087	0.999999994910225	2039.19	1795	1874	1995	2623	1958	513.9	515
Rv2229c	Rv2229c	hypothetical protein	hypoxia_late:12%; ctl_exponential:10%	-0.01	0.999999975847548	2092.82	1997	2034	1983	2572	1910	148.79	149.06
aftC	Rv2673	alpha-(1->3)-arabinofuranosyltransferase	hypoxia_late:11%	-0.011	0.999999976070449	2090.33	1971	2059	1991	2538	1921	47.26	47.3
Rv3015c	Rv3015c	hypothetical protein	hypoxia_late:29%	-0.0115	0.999999975600232	2103.03	2001	2046	1964	2586	1950	51.39	51.56
PPE7	Rv0354c	PPE family protein PPE7	ctl_stationary:13%; microaerophilic:10%	-0.0099	0.999999977912947	2077.95	1962	1832	1926	2692	2030	145.61	146.28
moaB1	Rv3110	pterin-4-alpha-carbinolamine dehydratase	hypoxia_late:34%; ctl_stationary:18%	-0.0221	0.999999984489323	2150.02	2492	2063	1935	2337	1951	11.14	11.17
glgB	Rv1326c	1,4-alpha-glucan branching protein	microaerophilic:16%	-0.008	0.999999936531173	2095.7	1982	2111	1981	2574	1865	125.34	125.47
idsA2	Rv2173	geranylgeranyl pyrophosphate synthetase IdsA	zinc_limitation:10%	-0.0077	0.999999964442915	2071.73	1812	1956	1937	2683	2023	105.61	105.91
grcC2	Rv0989c	polyprenyl-diphosphate synthase GrcC	PBS_RIF_DDmtb:15%; ctl_stationary:13%; hypoxia_late:11%	-0.0111	0.999999982790359	2067.24	1889	1986	1986	2553	1955	62.08	62.19
Rv3195	Rv3195	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:15%; nutrient_limitation:12%; ctl_stationary:10%	-0.0113	0.999999977865885	2076.47	1877	1973	1953	2621	1999	26.31	26.41
asnT	Rvnt25	tRNA-Asn	hypoxia_late:24%; tyloxopol:12%; butyrate:12%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	-0.0115	0.999999999999995	2013.67	2120	1239	1924	2594	2336	6.42	6.46
Rv2797c	Rv2797c	hypothetical protein	hypoxia_late:28%	-0.0098	0.999999973580379	2075.24	1911	1957	1977	2619	1952	41.21	41.27
agpS	Rv3107c	alkyldihydroxyacetonephosphate synthase	hypoxia_late:17%	-0.0106	0.999999932241619	2102.43	1989	2133	1963	2546	1911	50.28	50.37
scpA	Rv1709	segregation and condensation protein ScpA	high_iron:12%	-0.0096	0.999999960707928	2071.97	1946	1989	1973	2579	1908	250.79	251.45
recC	Rv0631c	exonuclease V subunit gamma RecC	hypoxia_late:47%	-0.0118	0.999999955690532	2099.3	2000	2071	1959	2565	1932	22.29	22.37
Rv0611c	Rv0611c	hypothetical protein	human_sputum:11%	-0.011	0.999999951771575	2082.3	1969	1974	1945	2604	1956	201.12	201.9
tcrA	Rv0602c	two component DNA binding transcriptional regulator TcrA	hypoxia_late:50%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.0173	0.99999998704973	2084.37	1954	1967	1906	2613	2020	8.36	8.41
Rv0584	Rv0584	glycosidase	hypoxia_late:19%; human_sputum:11%	-0.0099	0.999999983525099	2034.16	1798	1684	1883	2769	2121	19.34	19.48
Rv0498	Rv0498	hypothetical protein	hypoxia_late:12%	-0.0101	0.999999939163485	2078.08	1927	2088	1978	2539	1890	145.04	145.24
Rv0313	Rv0313	hypothetical protein	hypoxia_fatty_acids:14%; ctl_stationary:13%	-0.009	0.999999876776901	2078.22	1955	2080	1965	2564	1862	724.16	725.45
Rv2433c	Rv2433c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:10%	-0.0123	0.999999990158645	2033.2	1838	1709	1912	2751	2031	57.95	58.34
PE35	Rv3872	PE family protein PE35	hypoxia_rar:11%; human_sputum:10%	-0.0096	0.999999914304157	2075.43	1960	1923	1923	2634	1979	615.69	618.01
phoP	Rv0757	two component system response transcriptional positive regulator PhoP	hypoxia_fatty_acids:8%	-0.0095	0.999999859124308	2079.33	1963	2123	1970	2542	1833	304.02	304.51
Rv0600c	Rv0600c	two component sensor kinase HK1	hypoxia_late:59%; ctl_stationary:10%	-0.0141	0.999999987369827	2046.17	1831	1758	1861	2762	2094	24.42	24.67
Rv2012	Rv2012	hypothetical protein	hypoxia_fatty_acids:30%; ctl_stationary:13%; hypoxia_late:11%	-0.011	0.999999999999897	1974.72	1694	1454	1933	2939	2000	8	8.07
Rv0318c	Rv0318c	integral membrane protein	hypoxia_late:22%	-0.0126	0.999999974553548	2052.08	1771	2018	1968	2511	2027	28.95	29.01
MT3282	MT3282	hypothetical protein	hypoxia_late:23%; zinc_limitation:11%; ctl_stationary:11%	-0.0143	0.999999999999496	1999.62	1823	1422	1827	3005	2081	18.08	18.42
prrB	Rv0902c	two component sensor histidine kinase PrrB	cholesterol:8%	-0.0091	0.9999999324726	2049.48	1811	2051	1974	2567	1885	157.54	157.85
hemN	Rv2388c	oxygen-independent coproporphyrinogen III oxidase	hypoxia_late:8%	-0.0097	0.999999924874424	2057.03	1878	1945	1943	2612	1949	183.91	184.5
TB9.4	Rv3208A	hypothetical protein	ctl_exponential:12%	-0.0124	0.999999988988046	2021.78	1856	1843	1979	2552	1919	330.6	331.68
PE19	Rv1791	PE family protein PE19	human_sputum:17%; hypoxia_rar:11%	-0.0097	0.999999929151657	2049.18	1825	2016	1971	2581	1894	571.98	572.92
Rv0320	Rv0320	hypothetical protein	hypoxia_late:15%; ctl_stationary:11%	-0.0133	0.999999941894147	2072.8	1952	1918	1909	2645	1984	48.83	49.11
trcR	Rv1033c	two component transcriptional regulator TrcR	human_sputum:17%	-0.0138	0.99999993703031	2074.46	1983	1863	1880	2688	2010	46.89	47.24
dosT	Rv2027c	two component sensor histidine kinase DosT	hypoxia_late:16%; hypoxia_hypoxic:12%; ctl_stationary:11%	-0.0114	0.999999965344748	2037.96	1833	1747	1882	2721	2076	27.58	27.8
Rv3677c	Rv3677c	beta lactamase	INDIGO_exponential:9%	-0.0101	0.999999824781811	2071.5	1981	2052	1958	2555	1846	329.12	329.92
pks5	Rv1527c	polyketide synthase	hypoxia_late:18%	-0.0098	0.999999790383395	2065.05	1976	2112	1975	2527	1772	85.52	85.66
ffh	Rv2916c	signal recognition particle protein	zinc_limitation:9%	-0.011	0.99999995073773	2035.32	1885	1965	1976	2526	1859	157.41	157.78
fadE16	Rv1679	acyl-CoA dehydrogenase FadE16	high_iron:10%	-0.0106	0.999999805159081	2058.22	1950	2049	1954	2535	1837	177.98	178.42
tlyA	Rv1694	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	hypoxia_late:13%	-0.0114	0.999999771534509	2070.55	1979	2099	1939	2517	1850	190.36	190.94
MT3876.1	MT3876.1	hypothetical protein	tyloxopol:8%	-0.0139	0.999999953555209	2048.35	1872	1821	1839	2738	2038	150.85	152.17
Rv1558	Rv1558	hypothetical protein	zinc_limitation:12%	-0.0122	0.999999881212339	2058.35	1967	2008	1949	2534	1866	237.93	238.74
Rv2288	Rv2288	hypothetical protein	acidic:12%	-0.0124	0.999999935897966	2047.55	1901	1941	1962	2554	1915	167.59	167.95
bcpB	Rv1608c	peroxiredoxin	tyloxopol:11%	-0.0128	0.999999914706016	2053.5	1906	2027	1948	2530	1889	186.23	186.9
add	Rv3313c	adenosine deaminase	tyloxopol:10%	-0.0124	0.99999994257139	2044.65	1884	1968	1961	2544	1901	79.42	79.67
atsA	Rv0711	arylsulfatase AtsA	nutrient_limitation:27%; PBS_RIF_DDmtb:17%	-0.0106	0.999999754599864	2050.92	1921	2022	1922	2550	1875	90.59	90.92
Rv1128c	Rv1128c	hypothetical protein	human_sputum:19%; hypoxia_late:16%; zinc_limitation:11%	-0.0139	0.999999904144508	2053.24	1829	1978	1864	2647	1998	21.4	21.55
Rv3177	Rv3177	peroxidase	hypoxia_late:16%; butyrate:12%; ctl_stationary:11%	-0.0145	0.999999980479496	2003.43	1782	1647	1853	2775	2050	17.86	18.08
treS	Rv0126	trehalose synthase/amylase TreS	zinc_limitation:8%	-0.0117	0.999999812135748	2046.09	1934	2006	1942	2543	1841	89.09	89.38
Rv3818	Rv3818	hypothetical protein	hypoxia_late:10%	-0.0118	0.999999701220806	2049.15	1938	2075	1927	2504	1834	87.72	88
Rv3669	Rv3669	transmembrane protein	tyloxopol:15%	-0.0131	0.999999861973508	2048.34	1939	2028	1944	2503	1858	185.96	186.59
Rv0372c	Rv0372c	hypothetical protein	hypoxia_late:52%; ctl_stationary:11%	-0.0157	0.999999999998047	1951.06	1684	1333	1734	3027	2176	6.39	6.56
vapC45	Rv3180c	ribonuclease VapC45	hypoxia_late:22%	-0.019	0.999999933021878	2067.04	1993	2074	1941	2408	1937	31.2	31.29
Rv2387	Rv2387	hypothetical protein	human_sputum:11%	-0.0126	0.999999779782668	2047.91	1941	2050	1940	2489	1849	85.61	85.88
eno	Rv1023	enolase	ctl_exponential:9%	-0.0115	0.999999795838566	2035.1	1879	2015	1947	2547	1826	213.19	213.79
MT3954	MT3954	hypothetical protein	hypoxia_late:40%; ctl_stationary:17%; PBS_RIF_DDmtb:15%	-0.0078	0.999999999993744	1889.24	2221	1039	1757	2597	2033	3.08	3.05
frdC	Rv1554	fumarate reductase membrane anchor subunit	hypoxia_late:25%; acidic:20%; acidic_tyloxopol:14%	-0.027	0.999999988516551	2052.64	1964	1883	1764	2698	2014	7.07	7.24
lysA	Rv1293	diaminopimelate decarboxylase	INDIGO_exponential:8%	-0.0116	0.999999641913283	2037.2	1956	2041	1934	2507	1783	227.99	228.71
Rv1024	Rv1024	membrane protein	hypoxia_late:16%	-0.0114	0.999999926333608	1999.84	1659	1860	2039	2590	1909	119.21	119.43
Rv2252	Rv2252	diacylglycerol kinase	PBS_RIF_DDmtb:15%; hypoxia_late:11%	-0.0154	0.999999939470728	2017.82	1859	1868	1936	2506	1954	30.75	30.86
Rv2119	Rv2119	hypothetical protein	hypoxia_late:12%; zinc_limitation:12%	-0.016	0.999999804663356	2046.27	1972	1933	1871	2568	1925	61.67	62.19
Rv2011c	Rv2011c	hypothetical protein	hypoxia_fatty_acids:29%; ctl_stationary:22%	-0.0153	0.999999922204916	2022.25	1836	1781	1823	2733	2009	50.59	51.12
B11	MTS2822	small intergenic RNA	butyrate:12%; acidic_tyloxopol:12%; nutrient_limitation:11%; butyrate_plus_glucose:10%	-0.0149	0.999999940819276	2011.09	1862	1779	1914	2578	1969	387.13	389.52
MT3573.11	MT3573.11	hypothetical protein	microaerophilic:54%	-0.0142	0.999999685542328	2044.67	1935	1990	1881	2557	1897	114	114.7
cyp140	Rv1880c	cytochrome P450 Cyp140	ctl_exponential:8%	-0.0117	0.999999465603447	2040.73	1966	2090	1929	2486	1767	251.31	252.09
MT0991	MT0991	hypothetical protein	hypoxia_late:24%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	-0.0253	0.999999943453129	2080.32	1909	1910	2304	2285	2012	16.01	15.86
fadE12	Rv0972c	acyl-CoA dehydrogenase FadE12	microaerophilic:51%	-0.0158	0.999999949490032	2006.8	1924	1841	1950	2478	1873	65.97	66.29
ruvB	Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB	PBS_RIF_DDmtb:15%	-0.0121	0.999999605150128	2029.51	1903	2005	1917	2523	1835	229.37	230.39
parE2	Rv2142c	toxin ParE2	ctl_stationary:11%	-0.0167	0.999999994770275	1950.31	1674	1337	1778	3017	2138	41.11	41.89
Rv0822c	Rv0822c	hypothetical protein	PBS_RIF_DDmtb:12%; low_iron:11%	-0.0123	0.999999871750663	2002.2	1814	1865	1928	2576	1874	277.52	278.7
mmpL7	Rv2942	transmembrane transport protein MmpL7	high_iron:11%	-0.012	0.999999689744391	2010.48	1897	1944	1932	2532	1787	708.1	710.68
PPE58	Rv3426	PPE family protein PPE58	nutrient_limitation:20%; hypoxia_rar:13%	-0.0156	0.999999694660293	2034.83	1980	1962	1900	2513	1852	125.38	126.22
uspC	Rv2318	sugar ABC transporter substrate-binding lipoprotein UspC	hypoxia_late:25%; ctl_stationary:11%	-0.0193	0.999999925676758	2034.02	1943	1948	1931	2399	1968	13.4	13.45
Rv0078A	Rv0078A	hypothetical protein	hypoxia_fatty_acids:8%	-0.0133	0.999999599074141	2025.24	1886	2000	1897	2524	1855	229.75	230.94
MT0291.2	MT0291.2	hypothetical protein	microaerophilic:43%; hypoxia_late:16%; ctl_stationary:11%	-0.0275	0.999999999998938	1992.6	1874	1668	1790	2502	2184	14.3	14.55
ctpI	Rv0107c	cation-transporter ATPase I	zinc_limitation:13%; hypoxia_late:10%	-0.0113	0.999999297777795	2021.61	1940	2055	1925	2499	1728	129.37	129.77
esxR	Rv3019c	ESAT-6 like protein EsxR	microaerophilic:23%; hypoxia_late:14%	-0.0184	0.999999887393013	2032.61	1882	1996	1910	2437	1962	66.6	66.96
purA	Rv0357c	adenylosuccinate synthetase	hypoxia_late:10%	-0.0152	0.999999709304646	2016.28	1887	1939	1891	2529	1872	67.55	68
Rv2254c	Rv2254c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:18%	-0.0161	0.999999977260725	1964.16	1741	1552	1867	2697	2055	50.25	50.82
mycP1	Rv3883c	membrane-anchored mycosin	hypoxia_rar:10%	-0.0121	0.999999223154995	2021.97	1951	2032	1918	2492	1753	362.42	363.83
MT0159	MT0159	hypothetical protein	PBS_RIF_DDmtb:20%; hypoxia_late:17%; ctl_stationary:12%	-0.0247	0.999999999994911	1966.5	1704	1390	1696	3151	2102	13.68	14.12
trpE	Rv1609	anthranilate synthase component I	zinc_limitation:8%	-0.0125	0.999999345528503	2019.57	1923	2025	1919	2498	1769	227.11	228.02
Rv3629c	Rv3629c	integral membrane protein	human_sputum:10%	-0.016	0.999999571239277	2032.08	1953	2039	1907	2446	1842	70.11	70.48
Rv1727	Rv1727	hypothetical protein	hypoxia_late:29%	-0.0169	0.999999895084205	1995.52	1748	1819	1849	2642	1980	47.5	47.96
dppC	Rv3664c	dipeptide ABC transporter permease DppC	hypoxia_late:23%	-0.0187	0.999999875536605	2008.98	1778	1951	1869	2560	1931	22.47	22.65
eccA2	Rv3884c	ESX-2 secretion system protein EccA	hypoxia_late:10%; ctl_exponential:10%	-0.014	0.999999514388306	2007.04	1891	1915	1888	2528	1851	142.47	143.36
Rv2468c	Rv2468c	hypothetical protein	ctl_exponential:9%	-0.0145	0.999999630957193	2002.17	1876	1985	1920	2476	1788	513.42	515.87
ask	Rv3709c	aspartokinase	microaerophilic:12%; zinc_limitation:10%	-0.0127	0.999999267104666	2005.59	1890	1998	1916	2495	1766	398.59	400.4
Rv2018	Rv2018	hypothetical protein	acidic:9%	-0.0189	0.999999753366262	2013.43	1945	1866	1855	2540	1900	54.13	54.65
mycP3	Rv0291	membrane-anchored mycosin MycP	microaerophilic:42%; zinc_limitation:12%	-0.0142	0.999999204518168	2014.42	1984	2042	1915	2451	1715	816.55	820.49
Rv3482c	Rv3482c	membrane protein	PBS_RIF_DDmtb:10%	-0.0164	0.999999269887763	2020.52	1973	2047	1896	2422	1792	133.6	134.32
Rv3007c	Rv3007c	oxidoreductase	INDIGO_exponential:8%	-0.0141	0.999999914266836	1963.27	1711	1815	1930	2531	1878	147.14	147.95
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	-0.0173	0.999999488784217	2012.09	1942	1955	1873	2493	1831	88.35	89.03
Rv1830	Rv1830	HTH-type transcriptional regulator	INDIGO_exponential:9%	-0.0133	0.999998997487323	2008.76	1930	2030	1905	2469	1745	452.8	454.83
rocD2	Rv2321c	ornithine aminotransferase rocD2	ctl_stationary:17%; hypoxia_late:14%	-0.0129	0.99999999848706	1855.44	1440	1115	1768	3033	2201	24	24.4
MT2924	MT2924	hypothetical protein	hypoxia_late:18%	-0.0179	0.999999890615024	1983.51	1820	1757	1884	2589	1920	68.77	69.38
Rv2657c	Rv2657c	prophage protein	acidic_tyloxopol:10%	-0.0171	0.999999861244211	1980.41	1794	1802	1904	2516	1928	147.25	148.1
Rv1973	Rv1973	Mce associated membrane protein	hypoxia_late:40%; ctl_stationary:12%	-0.013	0.999999999996281	1837.1	1435	967	1657	3127	2372	9.89	10.16
hemC	Rv0510	porphobilinogen deaminase	high_iron:8%	-0.0139	0.999999088430338	1995.99	1932	1943	1903	2494	1746	960.12	965.25
hadC	Rv0637	(3R)-hydroxyacyl-ACP dehydratase subunit HadC	INDIGO_exponential:11%	-0.0145	0.999999083557109	2001.78	1896	2053	1911	2444	1739	664.23	667.59
rocE	Rv2320c	cationic amino acid transporter permease RocE	hypoxia_late:16%; ctl_stationary:15%	-0.0174	0.999999766708451	1980.41	1736	1838	1814	2633	1942	23.11	23.37
Rv3729	Rv3729	transferase	PBS_RIF_DDmtb:15%; hypoxia_late:13%; ctl_stationary:11%	-0.0172	0.999999470778441	1997.98	1944	1899	1877	2484	1820	40.85	41.17
Rv0740	Rv0740	hypothetical protein	acidic:11%	-0.0181	0.999999599069832	1993.95	1851	1976	1887	2430	1854	95.56	96.18
alkA	Rv1317c	bifunctional regulatory protein/DNA repair enzyme AlkA	nutrient_limitation:23%; PBS_RIF_DDmtb:15%	-0.0155	0.999999618936197	1972.29	1863	1795	1898	2519	1829	167.98	169.12
mshD	Rv0819	mycothiol acetyltransferase	microaerophilic:10%	-0.0154	0.999999176155596	1993.97	1917	1916	1876	2481	1814	219.26	220.8
Rv0368c	Rv0368c	hypothetical protein	hypoxia_late:51%	-0.0189	0.999999986158231	1907.47	1640	1384	1803	2828	2028	7.61	7.76
Rv2125	Rv2125	hypothetical protein	zinc_limitation:8%	-0.0151	0.999999034181757	1997.9	1900	1972	1870	2480	1802	226.05	227.53
Rv2135c	Rv2135c	hypothetical protein	PBS_RIF_DDmtb:11%	-0.016	0.999999732973471	1970.48	1803	1797	1893	2537	1868	230.09	231.85
lpqF	Rv3593	lipoprotein LpqF	tyloxopol:10%	-0.0139	0.999998695986276	1992.39	1907	2019	1895	2454	1723	304.93	306.49
Rv0560c	Rv0560c	benzoquinone methyltransferase	hypoxia_fatty_acids:90%	-0.0195	0.999999577565226	1989.9	1912	1847	1843	2520	1867	70.64	71.32
fadA3	Rv1074c	beta-ketoacyl CoA thiolase FadA	PBS_RIF_DDmtb:10%	-0.0137	0.999998523744123	1991.93	1914	2036	1908	2452	1688	513.46	515.88
dapD	Rv1201c	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	tyloxopol:13%; high_iron:11%	-0.0168	0.999999227797986	1983.77	1865	1980	1902	2456	1751	392.06	394.58
Rv0547c	Rv0547c	oxidoreductase	hypoxia_late:14%	-0.0162	0.999999634877313	1959.63	1728	1936	1913	2449	1810	117.14	117.81
icd1	Rv3339c	isocitrate dehydrogenase	INDIGO_exponential:10%	-0.017	0.999999277133717	1981.59	1933	1886	1885	2460	1778	196.28	197.75
Rv2481c	Rv2481c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	-0.024	0.999999929259813	1979.62	1920	1710	1850	2500	1961	35.83	36.34
Rv1065	Rv1065	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:12%	-0.0171	0.999999093659931	1984.42	1915	1911	1858	2474	1799	213.19	214.79
Rv0614	Rv0614	hypothetical protein	hypoxia_late:23%	-0.0204	0.999999546249871	1982.49	1922	1873	1862	2420	1863	41	41.34
serS	Rv3834c	serine--tRNA ligase	hypoxia_late:22%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	-0.0212	0.999999681487803	1972.07	1837	1880	1859	2435	1880	24.24	24.48
